,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,0.8,0.89,0.67,0.43,0.72,0.31,0.49,0.55,0.77,0.97,0.73,0.26,0.22,0.14,0.75,0.9
calcubetimer.csv,0.41,0.44,0.0,0.52,0.76,0.5,0.04,0.29,0.76,0.9,0.75,0.4,0.29,0.1,0.26,0.45
chaosrts.csv,0.73,0.44,0.2,0.41,0.35,0.17,0.6,0.5,0.79,0.6,0.45,0.32,0.29,0.2,0.41,0.87
dxengine.csv,0.35,0.28,0.32,0.62,0.61,0.44,0.35,0.52,0.23,0.42,0.0,0.11,0.5,0.14,0.64,0.23
freedom-erp.csv,0.33,0.15,0.0,0.06,0.5,0.08,0.0,0.14,0.05,0.66,0.75,0.27,0.17,0.0,0.31,0.6
joustsim.csv,0.67,0.92,0.74,0.55,0.36,0.32,0.34,0.45,0.64,0.67,0.18,0.77,0.33,0.15,0.55,0.32
jsidplay2.csv,0.35,0.19,0.27,0.27,0.88,0.18,0.22,0.35,0.61,0.81,0.76,0.23,0.06,0.09,0.1,0.63
madman.csv,0.67,0.28,0.44,0.4,0.61,0.34,0.42,0.45,0.34,0.59,0.13,0.29,0.57,0.2,0.63,0.81
mclient-mume.csv,0.7,0.78,0.88,0.48,0.2,0.39,0.4,0.09,0.66,0.22,0.04,0.45,0.37,0.16,0.47,0.61
primefaces.csv,0.82,0.86,0.69,0.51,0.72,0.37,0.63,0.55,0.85,0.77,0.72,0.28,0.25,0.14,0.77,0.91
reaper3d.csv,0.63,0.72,0.72,0.54,0.7,0.42,0.38,0.16,0.41,0.3,0.72,0.29,0.39,0.27,0.63,0.26
sblim.csv,0.2,0.12,0.55,0.52,0.31,0.59,0.04,0.21,0.77,0.22,0.59,0.35,0.26,0.1,0.2,0.43
sevenupdate.csv,0.91,0.86,0.73,0.52,0.77,0.34,0.5,0.55,0.85,0.97,0.73,0.27,0.28,0.14,0.74,0.94
springside.csv,0.85,0.72,0.73,0.54,0.57,0.32,0.68,0.37,0.52,0.71,0.59,0.48,0.36,0.15,0.66,0.71
swtfox.csv,0.75,0.76,0.71,0.34,0.59,0.0,0.49,0.64,0.35,0.4,0.35,0.0,0.23,0.12,0.71,0.68
tmva.csv,0.9,0.85,0.4,0.43,0.86,0.19,0.62,0.44,0.83,0.97,0.73,0.27,0.34,0.18,0.73,0.93
