,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.57,0.06,0.38,0.79,0.22,0.0,0.05,0.07,0.56,0.25,0.24,0.1,0.62,0.79,0.36,0.0,0.26
bionote.csv,0.71,0.05,0.05,0.64,0.24,0.0,0.33,0.5,0.18,0.25,0.12,0.23,0.19,0.36,0.27,0.0,0.14
bullet.csv,0.96,0.37,0.38,0.76,0.53,0.0,0.38,0.19,0.94,0.25,0.24,0.23,0.92,0.56,0.76,0.0,0.45
dxengine.csv,0.03,0.41,0.19,0.76,0.29,0.8,0.43,0.34,0.06,0.44,0.55,0.15,0.19,0.0,0.24,0.0,0.48
emono.csv,0.69,0.47,0.52,0.73,0.55,1.0,0.9,0.57,0.84,0.69,0.79,0.31,0.69,0.77,0.76,1.0,0.45
findbugs.csv,0.36,0.28,0.29,0.7,0.49,0.7,0.76,0.39,0.46,0.31,0.57,0.58,0.6,0.38,0.4,1.0,0.21
hazelcast.csv,0.41,0.49,0.67,0.91,0.67,0.0,0.52,0.5,0.46,0.94,0.28,0.31,0.65,0.62,0.71,0.0,0.83
jedit.csv,0.24,0.29,0.9,0.97,0.55,1.0,0.62,0.52,0.62,0.94,0.81,0.35,0.81,0.33,0.87,0.0,0.9
jmonkeyengine.csv,0.12,0.59,0.48,0.52,0.76,0.7,0.71,0.71,0.12,0.69,0.84,0.98,0.5,0.08,0.27,1.0,0.98
kolmafia.csv,0.76,0.29,0.52,0.91,0.45,0.1,0.52,0.83,0.84,0.88,0.86,0.71,0.67,0.26,0.78,0.0,0.9
lamp.csv,0.47,0.22,0.43,0.61,0.47,0.3,0.43,0.63,0.56,0.62,0.22,0.35,0.38,1.0,0.69,0.0,1.0
lcfizvtop.csv,0.04,0.6,0.14,0.39,0.49,0.0,0.14,0.46,0.18,0.5,0.12,0.29,0.17,0.59,0.38,0.0,0.21
onotoa.csv,0.73,0.19,0.29,0.67,0.51,1.0,0.9,0.45,0.64,0.5,0.81,0.48,0.81,0.36,0.58,1.0,0.29
openintents.csv,0.65,0.98,0.67,0.27,0.61,0.3,0.57,0.6,0.94,0.5,0.43,0.88,0.79,0.77,0.82,1.0,0.55
qlc.csv,0.13,0.35,0.1,0.76,0.43,0.0,0.43,0.3,0.26,0.69,0.14,0.29,0.25,0.51,0.56,0.0,0.24
triplea.csv,0.75,0.58,0.29,1.0,0.71,0.6,0.57,0.47,0.78,0.69,0.64,0.4,0.92,0.85,0.82,0.0,0.69
