,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.24,0.48,0.18,0.31,0.43,0.27,0.29,0.59,0.0,0.44,0.04
elateportal.csv,0.25,0.31,0.21,0.49,0.25,0.26,0.43,0.38,0.98,0.4,0.98
etics.csv,0.27,0.28,0.67,0.5,0.34,0.0,0.18,0.36,0.01,0.24,0.09
lockss.csv,0.32,0.48,0.41,0.61,0.3,0.39,0.32,0.83,0.89,0.5,0.24
pcgen.csv,0.14,0.52,0.35,0.67,0.3,0.33,0.4,0.41,0.98,0.48,0.92
personalaccess.csv,0.33,0.37,0.5,0.67,0.39,0.41,0.26,0.85,0.63,0.49,0.17
pydev.csv,0.28,0.47,0.53,0.29,0.37,0.27,0.36,0.66,0.2,0.63,0.12
rhex.csv,0.5,0.46,0.0,0.44,0.16,0.32,0.22,0.62,0.86,0.43,0.12
stuproa-cims.csv,0.27,0.09,0.0,0.61,0.1,0.19,0.54,0.22,0.66,0.44,0.13
uclmda.csv,0.16,0.05,0.09,0.13,0.0,0.0,0.03,0.12,1.0,0.04,0.09
wgs-assembler.csv,0.24,0.57,0.46,0.61,0.37,0.32,0.4,0.8,0.71,0.54,0.2
