,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.13,0.88,0.2,0.52,0.29,0.31,0.0,0.62,0.08,0.09,0.3
gbif-providertoolkit.csv,0.61,0.0,0.38,0.03,0.57,0.0,0.04,0.46,0.69,0.33,0.27
geochat.csv,0.19,0.12,0.04,0.29,0.14,0.62,0.57,0.15,0.06,0.31,0.53
heekscad.csv,0.79,0.38,0.68,0.61,0.71,0.92,0.53,0.38,0.75,0.49,0.5
igarden.csv,0.39,0.38,0.36,0.71,0.43,0.85,0.39,0.38,0.23,0.55,0.17
jstock.csv,0.62,0.62,0.66,0.71,0.43,0.85,0.2,0.92,0.46,0.6,0.33
levent.csv,0.51,0.12,0.0,0.0,0.86,0.92,0.69,0.46,0.0,0.0,0.0
piccolo2d.csv,0.12,0.0,0.39,0.06,0.64,0.85,0.49,0.38,0.21,0.49,0.2
pnotepad.csv,0.57,0.88,0.88,1.0,0.86,1.0,0.57,0.77,0.81,0.56,0.7
trinitycore.csv,0.29,0.62,0.39,0.81,0.21,0.69,0.06,0.46,0.29,0.69,0.07
xcsoar.csv,0.68,0.25,0.68,0.65,0.64,0.92,0.35,0.31,0.29,0.55,0.37
