,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.22,0.55,0.27,0.53,0.07,0.63,0.63,0.23,0.45,0.35,0.56,0.17,0.59,0.51,0.21
calcubetimer.csv,0.57,0.04,0.05,0.18,0.41,0.0,0.52,0.88,0.18,0.27,0.63,0.32,0.29,0.55,0.49
chaosrts.csv,0.38,0.27,0.0,0.51,0.6,0.0,0.52,0.43,0.6,0.0,0.0,0.48,0.8,0.59,0.49
emono.csv,0.56,0.4,0.9,0.5,0.41,0.21,0.54,0.0,0.0,0.73,0.35,0.35,0.2,0.36,0.71
freelords.csv,0.63,0.53,0.2,0.64,0.59,0.63,0.57,0.59,0.62,0.0,0.46,0.57,0.75,0.45,0.41
jmonkeyengine.csv,0.31,0.74,0.17,0.39,0.72,0.26,0.66,0.06,0.16,0.0,0.84,0.49,0.48,0.66,0.2
jython.csv,0.42,0.52,0.92,0.17,0.6,0.3,0.69,0.56,0.0,0.0,0.0,0.52,0.0,0.35,0.64
mclient-mume.csv,0.22,0.87,0.46,0.16,0.58,0.0,0.66,0.15,0.37,0.0,0.66,0.44,0.38,0.41,0.34
papertoolkit.csv,0.32,0.04,0.68,0.17,0.2,0.17,0.56,0.29,0.16,0.28,0.96,0.24,0.18,0.24,0.44
primefaces.csv,0.63,0.0,0.0,0.68,0.24,0.0,0.0,0.59,0.5,0.0,0.19,0.77,0.0,0.53,0.0
st-filteredstatistics.csv,0.33,0.0,0.05,0.51,0.37,0.41,0.37,0.57,0.77,0.0,0.48,0.27,0.21,0.13,0.0
toped.csv,0.36,0.5,0.2,0.49,0.48,0.51,0.8,0.0,0.29,0.0,0.46,0.37,0.2,0.13,0.66
triplea.csv,0.76,0.72,0.72,0.58,0.63,0.62,0.75,0.0,0.3,0.62,0.59,0.51,0.2,0.13,0.65
web-cat.csv,0.54,0.27,0.22,0.49,0.48,0.13,0.61,0.59,0.44,0.0,0.75,0.44,0.53,0.69,0.59
