,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.69,0.13,0.04,0.28,0.15,0.0,0.01,0.25,0.25,0.11
h2database.csv,0.62,0.72,0.13,0.67,0.5,0.51,0.17,0.44,0.26,0.11
hannosset.csv,0.02,0.34,0.23,0.37,0.19,0.81,0.36,0.28,0.17,0.2
jaql.csv,0.71,0.46,0.33,0.67,0.48,0.2,0.31,0.32,0.1,0.11
megameknet.csv,0.61,0.44,0.57,0.57,0.72,0.47,0.59,0.55,0.5,0.5
ngl.csv,0.21,0.61,0.58,0.64,0.67,0.42,0.5,0.65,0.69,0.35
qedo.csv,0.21,0.02,0.39,0.11,0.12,0.0,0.22,0.18,0.43,0.77
qmmp.csv,0.38,0.45,0.65,0.56,0.56,0.7,0.46,0.62,0.66,0.42
raven-monitoring.csv,0.37,0.46,0.67,0.45,0.52,0.2,0.46,0.35,0.35,0.4
v8.csv,0.11,0.52,0.38,0.45,0.55,0.75,0.81,0.45,0.33,0.49
