,recall,precision,pf,pci_20,ifa,wins
arm-webradio.csv,0.39,0.5,0.21,0.63,3.0,13
atlc.csv,0.67,0.35,0.61,0.54,2.0,6
bwapi.csv,1.0,0.27,0.98,0.4,2.0,2
cubefs.csv,1.0,0.49,1.0,0.42,1.0,11
freewrl.csv,0.81,0.35,0.71,0.43,3.0,4
iaml.csv,0.27,0.33,0.2,0.6,3.0,5
jrdf.csv,0.34,0.3,0.19,0.57,1.0,8
kwave.csv,0.7,0.42,0.66,0.43,0.0,12
oscarmcmaster.csv,0.57,0.33,0.38,0.55,2.0,7
rtrt-on-gpu.csv,0.47,0.44,0.5,0.63,2.0,10
theresa.csv,0.39,0.5,0.21,0.5,1.0,14
thrust.csv,0.37,0.42,0.33,0.8,4.0,9
tktoolkit.csv,0.67,0.3,0.61,0.48,3.0,3
xstore.csv,0.29,0.34,0.36,0.48,4.0,0
yaprm.csv,0.39,0.24,0.34,0.58,4.0,1
