,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,1.0,2.0,6.0,1.0,1.0,10.0,4.0,25.0,0.0,18.0,0.0,0.0
e-bio-flow.csv,0.0,1.0,0.0,0.0,0.0,4.0,1.0,22.0,0.0,25.0,0.0,3.0
freedom-erp.csv,0.0,1.0,0.0,0.0,0.0,224.0,6.0,4.0,2.0,107.0,0.0,7.0
jbasic.csv,2.0,0.0,1.0,0.0,1.0,122.0,25.0,24.0,0.0,7.0,2.0,0.0
jgossipforum.csv,1.0,0.0,1.0,2.0,3.0,3.0,0.0,5.0,0.0,6.0,2.0,2.0
joustsim.csv,2.0,0.0,3.0,0.0,12.0,33.0,0.0,19.0,0.0,16.0,0.0,0.0
jsidplay2.csv,1.0,2.0,3.0,0.0,1.0,15.0,21.0,21.0,0.0,21.0,0.0,22.0
madman.csv,3.0,3.0,1.0,0.0,2.0,113.0,32.0,2.0,0.0,9.0,0.0,0.0
mule.csv,0.0,1.0,1.0,4.0,1.0,105.0,8.0,13.0,0.0,10.0,1.0,12.0
nunit.csv,0.0,3.0,10.0,2.0,1.0,55.0,8.0,24.0,0.0,55.0,0.0,1.0
power-architect.csv,1.0,0.0,5.0,0.0,4.0,94.0,19.0,25.0,0.0,17.0,0.0,0.0
reaper3d.csv,1.0,1.0,1.0,0.0,0.0,72.0,5.0,4.0,0.0,5.0,0.0,1.0
