,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.52,0.42,0.31,0.54,0.45,0.48,0.19,0.43,0.5,0.51,0.84,0.7,0.33,0.97,0.28,0.32,0.32,0.74
decidr.csv,0.5,0.52,0.52,0.84,0.67,0.86,0.93,0.98,0.87,0.99,0.22,0.89,0.89,0.87,0.75,1.0,0.82,0.96
elmo.csv,0.08,0.3,0.02,0.1,0.08,0.31,0.22,0.08,0.1,0.09,0.13,0.02,0.01,0.05,0.16,0.21,0.29,0.17
gpac.csv,0.38,0.28,0.27,0.07,0.21,0.38,0.22,0.71,0.16,0.33,0.93,0.28,0.83,0.9,0.18,0.13,0.43,0.9
illumination.csv,0.0,0.94,0.06,0.09,0.9,0.0,0.78,0.69,0.0,0.71,0.02,0.0,0.0,0.54,0.47,0.95,0.15,0.0
img-browse-sort.csv,0.32,0.45,0.32,0.29,0.39,0.45,0.15,0.47,0.39,0.33,0.52,0.49,0.26,0.64,0.28,0.21,0.58,0.64
jajuk.csv,0.63,0.43,0.64,0.18,0.55,0.56,0.41,0.67,0.45,0.29,0.95,0.87,0.66,0.95,0.51,0.47,0.55,0.77
ktc.csv,0.24,0.27,0.25,0.22,0.29,0.37,0.07,0.43,0.18,0.17,0.27,0.45,0.21,0.38,0.34,0.71,0.37,0.37
miranda.csv,0.41,0.0,0.39,0.04,0.01,0.04,0.07,1.0,0.17,0.36,0.13,0.11,1.0,0.05,0.61,0.0,0.25,0.45
neoengine.csv,0.24,0.97,0.28,0.37,0.47,0.86,0.3,0.88,0.28,0.51,0.62,0.94,0.61,0.59,0.71,0.66,0.72,0.88
nicepress.csv,0.34,0.58,0.76,0.62,0.33,0.3,0.3,0.92,0.33,0.23,0.5,0.89,0.9,0.44,0.21,0.66,0.26,0.81
omseek.csv,0.07,0.03,0.02,0.09,0.03,0.2,0.0,0.12,0.02,0.06,0.18,0.04,0.05,0.33,0.21,0.55,0.06,0.1
rosegarden.csv,0.35,0.4,0.84,0.33,0.39,0.56,0.04,0.39,0.24,0.23,0.77,0.36,0.18,0.1,0.53,0.68,0.09,0.54
smarttag.csv,0.44,0.34,0.87,0.26,0.49,0.41,0.41,0.12,0.23,0.25,0.24,0.28,0.21,0.28,0.41,0.37,0.52,0.32
sylpheed-claws.csv,0.81,0.99,0.71,0.91,0.9,0.99,1.0,0.55,0.84,1.0,0.77,0.49,0.32,0.9,0.99,0.97,0.95,0.96
vapor.csv,0.0,1.0,0.46,0.62,1.0,0.27,0.96,0.78,0.0,1.0,0.73,0.0,0.0,1.0,0.79,1.0,0.97,0.0
zorannt.csv,0.39,0.6,0.04,0.16,0.25,0.59,0.7,0.12,0.16,0.19,0.19,0.55,0.35,0.28,0.37,0.24,0.55,0.63
zscreen.csv,0.49,0.07,0.22,0.75,0.34,0.49,0.19,0.08,0.3,0.62,0.63,0.09,0.05,0.44,0.46,0.79,0.68,0.85
