,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.49,0.07,0.52,0.56,0.22,0.28,0.83,0.75,0.37,0.39,0.56,0.58,0.57,0.25,0.16,0.43,0.12,0.69
decidr.csv,0.43,0.1,0.47,0.48,0.17,0.25,0.61,0.67,0.27,0.35,0.8,0.55,0.51,0.28,0.13,0.24,0.21,0.66
elmo.csv,0.67,0.13,0.62,0.62,0.48,0.31,0.65,0.6,0.43,0.45,0.74,0.5,0.92,0.0,0.21,0.27,0.3,0.67
gpac.csv,0.51,0.1,0.5,0.69,0.32,0.27,0.74,0.7,0.24,0.34,0.52,0.73,0.52,0.26,0.25,0.29,0.18,0.65
illumination.csv,0.0,0.06,0.45,0.6,0.15,0.0,0.53,0.68,0.0,0.37,0.81,0.0,0.0,0.22,0.07,0.27,0.58,0.0
img-browse-sort.csv,0.62,0.09,0.54,0.69,0.27,0.32,0.89,0.74,0.42,0.53,0.63,0.65,0.66,0.29,0.19,0.58,0.22,0.7
jajuk.csv,0.49,0.09,0.43,0.8,0.21,0.32,0.72,0.72,0.4,0.52,0.56,0.54,0.56,0.27,0.15,0.31,0.27,0.69
ktc.csv,0.69,0.1,0.61,0.74,0.27,0.37,0.78,0.74,0.57,0.52,0.71,0.58,0.68,0.29,0.19,0.31,0.2,0.78
miranda.csv,0.49,0.0,0.52,0.62,0.67,0.0,0.82,0.67,0.36,0.47,0.75,0.58,0.48,0.33,0.14,0.0,0.24,0.76
neoengine.csv,0.61,0.07,0.59,0.64,0.21,0.27,0.76,0.68,0.39,0.42,0.63,0.56,0.57,0.3,0.14,0.32,0.19,0.68
nicepress.csv,0.53,0.11,0.41,0.51,0.26,0.36,0.7,0.67,0.47,0.64,0.66,0.54,0.5,0.23,0.18,0.31,0.26,0.69
omseek.csv,0.79,0.0,0.76,0.83,0.67,0.44,1.0,0.86,0.85,0.33,0.64,0.5,0.74,0.24,0.28,0.25,0.5,0.86
rosegarden.csv,0.61,0.07,0.4,0.65,0.22,0.3,0.89,0.73,0.55,0.5,0.53,0.67,0.62,0.43,0.16,0.32,0.14,0.75
smarttag.csv,0.49,0.08,0.39,0.66,0.19,0.28,0.71,0.82,0.45,0.53,0.68,0.58,0.59,0.45,0.15,0.36,0.21,0.78
sylpheed-claws.csv,0.44,0.07,0.42,0.5,0.16,0.26,0.6,0.7,0.29,0.34,0.6,0.65,0.67,0.27,0.11,0.24,0.22,0.67
vapor.csv,0.0,0.07,0.53,0.56,0.14,0.42,0.64,0.7,0.0,0.34,0.62,0.0,0.0,0.26,0.13,0.25,0.21,0.0
zorannt.csv,0.45,0.09,0.73,0.74,0.35,0.26,0.63,0.75,0.33,0.38,0.71,0.6,0.62,0.31,0.13,0.4,0.27,0.65
zscreen.csv,0.54,0.17,0.6,0.51,0.21,0.36,0.88,0.83,0.48,0.38,0.6,0.56,0.76,0.26,0.17,0.23,0.21,0.68
