,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.0,0.29,0.05,0.4,0.75,0.8,0.5,0.54,0.62,0.59,0.46
aztec.csv,0.21,0.79,0.38,0.43,0.57,0.57,0.44,0.13,0.15,0.76,0.48
bl-toolkit.csv,0.72,0.0,0.37,0.0,0.13,0.38,0.0,0.42,0.32,0.71,0.0
clamav.csv,0.33,0.4,0.0,0.72,0.58,0.65,0.29,0.64,0.58,0.39,0.58
fm-classic.csv,0.07,0.0,0.98,0.0,0.0,0.32,0.13,0.0,0.05,0.11,0.01
kml.csv,0.7,0.64,0.33,0.67,0.76,0.66,0.67,0.66,0.73,0.3,0.21
lufa-lib.csv,0.66,0.72,0.36,0.56,0.62,0.58,0.69,0.48,0.52,0.76,0.34
mplayer-ce.csv,0.69,0.28,0.17,0.35,0.7,0.64,0.32,0.62,0.68,0.74,0.55
qmmp.csv,0.67,0.57,0.84,0.6,0.7,0.44,0.3,0.68,0.55,0.69,0.37
xapian.csv,0.56,0.27,0.36,0.39,0.5,0.71,0.37,0.58,0.74,0.4,0.6
xtreemfs.csv,0.66,0.81,0.38,0.67,0.79,0.54,0.64,0.26,0.51,0.83,0.13
