,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.46,0.02,0.2,0.05,0.55,0.45,0.11,0.07,0.05,0.27,0.52,0.0,0.32
emulemorph.csv,0.22,0.0,0.27,0.0,0.44,0.0,0.0,0.0,0.2,0.0,0.03,0.0,0.09
gisgraphy.csv,0.17,0.03,0.21,0.13,0.39,0.36,0.0,0.18,0.07,0.26,0.46,0.0,0.61
jaxen.csv,0.47,0.02,0.23,0.14,0.4,0.74,0.0,0.56,0.1,0.39,0.55,0.0,0.4
jvcl.csv,0.3,0.44,0.35,0.2,0.48,0.18,0.0,0.17,0.14,0.3,0.62,0.03,0.25
m-m-m.csv,0.4,0.03,0.14,0.14,0.35,0.87,0.03,0.11,0.03,0.37,0.48,0.05,0.48
motu.csv,0.5,0.03,0.19,0.12,0.38,0.81,0.0,0.11,0.12,0.5,0.51,0.02,0.45
nh3d.csv,0.47,0.8,0.0,0.12,0.41,0.91,0.03,0.11,0.0,0.36,0.57,0.02,0.48
sarasvati.csv,0.35,0.02,0.07,0.29,0.17,0.39,0.09,0.1,0.0,0.35,0.42,0.08,0.37
wgs-assembler.csv,0.48,0.06,0.09,0.2,0.35,0.04,0.04,0.46,0.15,0.42,0.16,0.0,0.32
zabbix.csv,0.5,0.0,0.19,0.13,0.32,0.53,0.0,0.11,0.13,0.27,0.52,0.0,0.41
