,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.62,0.1,0.4,0.15,0.41,0.14,0.82,0.3,0.28,0.35,0.06,0.45
bscwweasel.csv,0.5,0.5,0.36,0.31,0.43,0.25,0.69,0.28,0.42,0.36,0.06,0.38
capcode.csv,0.67,0.12,0.26,0.13,0.42,0.32,0.75,0.41,0.36,0.38,0.09,0.4
emite.csv,0.62,0.06,0.27,0.1,0.41,0.06,0.86,0.31,0.6,0.28,0.0,0.68
lamp.csv,0.55,0.27,0.48,0.14,0.28,0.16,0.71,0.45,0.33,0.44,0.05,0.39
mecat.csv,0.9,0.33,1.0,0.0,0.5,0.14,0.0,0.29,0.0,0.75,0.3,0.0
nodal.csv,1.0,0.16,0.41,0.2,0.16,0.38,1.0,0.43,0.52,0.46,0.0,0.55
pydev.csv,0.5,0.19,0.45,0.17,0.43,0.16,0.67,0.27,0.32,0.52,0.07,0.47
retromenu.csv,1.0,0.15,0.67,0.29,0.63,0.1,0.77,0.21,0.25,0.6,0.0,0.67
smbopensoft.csv,0.8,0.1,0.22,0.1,0.24,0.14,0.76,0.2,0.45,0.3,0.0,0.45
stuproa-cims.csv,0.0,1.0,0.36,0.29,0.39,0.27,0.67,0.56,0.37,0.34,0.07,0.5
thout.csv,0.52,0.09,0.48,0.24,0.3,0.15,0.74,0.25,0.27,0.31,0.04,0.44
