,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.13,0.21,0.42,0.39,0.32,0.54,0.51,0.49,0.64,0.7,0.64,0.32,0.28
autofac.csv,0.47,0.12,0.74,0.45,0.75,0.46,0.64,0.55,0.61,0.55,0.67,0.4,0.29
coot.csv,0.0,0.0,0.39,0.47,0.45,0.54,0.0,0.28,0.41,0.52,0.74,0.49,0.54
dsworkbench.csv,0.12,0.79,0.17,0.12,0.15,0.13,0.13,0.17,0.0,0.23,0.1,0.24,0.0
emono.csv,0.0,0.45,0.46,0.48,0.42,0.59,0.45,0.45,0.0,0.53,0.68,0.66,0.29
exist.csv,0.55,0.38,0.0,0.58,0.41,0.47,0.77,0.58,0.0,0.61,0.5,0.67,0.51
freelords.csv,0.73,0.52,0.62,0.63,0.71,0.49,0.33,0.45,0.75,0.62,0.47,0.38,0.29
google-collections.csv,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jchassis.csv,0.02,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.99,0.0,0.0,0.0,0.0
jpaul.csv,0.4,0.6,0.28,0.12,0.82,0.34,0.14,0.6,0.93,0.18,0.0,0.0,0.0
neodatis-odb.csv,0.0,0.65,0.51,0.56,0.39,0.71,0.52,0.65,0.13,0.51,0.64,0.37,0.29
octet.csv,0.31,0.42,0.56,0.38,0.38,0.54,0.32,0.73,0.0,0.41,0.5,0.47,0.28
thedata.csv,0.0,0.55,0.5,0.46,0.35,0.54,0.57,0.38,0.0,0.45,0.63,0.53,0.98
