,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.77,0.35,0.53,0.41,0.54,0.62,0.31,0.05,0.13,0.69,0.6,0.53,0.23,0.89,0.96,0.47,0.29
chaosrts.csv,0.88,0.47,0.52,0.59,0.52,0.52,0.47,0.06,0.0,0.53,0.51,0.53,0.27,0.97,0.72,0.61,0.32
cortex-vfx.csv,0.89,0.56,0.63,0.56,0.67,0.8,0.59,0.06,0.29,0.69,0.64,0.59,0.4,0.91,1.0,0.56,0.57
fm-classic.csv,0.92,0.7,0.69,1.0,0.68,1.0,0.65,0.3,1.0,1.0,1.0,0.33,0.39,0.94,0.88,0.73,0.25
fritzing.csv,0.83,0.61,0.71,0.59,0.74,0.67,0.57,0.05,1.0,0.72,0.68,0.65,0.36,0.88,1.0,0.62,0.37
jlinalg.csv,0.97,0.59,0.44,0.44,0.46,0.52,0.34,0.06,0.12,0.59,0.53,0.39,0.22,0.95,0.82,0.5,0.24
loki-lib.csv,0.92,0.41,0.58,0.46,0.55,0.57,0.2,0.04,0.24,0.54,0.55,0.61,0.27,0.94,0.88,0.46,0.2
metacosm.csv,0.9,0.61,0.53,0.61,0.62,0.78,0.42,0.05,0.14,0.74,0.73,0.67,0.28,0.9,0.85,0.73,0.43
multitude.csv,0.75,0.4,0.57,0.43,0.57,0.7,0.31,0.05,0.17,0.58,0.75,0.45,0.23,0.89,0.9,0.55,0.28
ng4j.csv,0.9,0.74,0.57,0.72,0.64,0.71,0.48,0.05,0.12,0.77,0.71,0.56,0.24,0.93,1.0,0.52,0.59
phonon-vlc-mplayer.csv,0.9,0.4,0.64,0.59,0.55,0.58,0.62,0.03,0.1,0.78,0.64,0.55,0.33,0.93,1.0,0.54,0.39
playerstage.csv,0.83,0.49,0.59,0.68,0.63,0.75,0.66,0.05,0.17,0.73,0.7,0.64,0.27,0.95,1.0,0.5,0.44
qgis.csv,0.76,0.37,0.54,0.43,0.68,0.0,0.46,0.06,0.17,0.76,0.59,0.52,0.24,0.89,0.95,0.55,0.37
rsyslog.csv,0.78,0.36,0.53,0.42,0.66,0.75,0.29,0.04,0.1,0.57,0.58,0.45,0.22,0.9,0.79,0.58,0.28
rtrt-on-gpu.csv,0.95,0.3,0.46,0.41,0.46,0.56,0.12,0.02,0.47,0.51,0.52,0.39,0.17,0.87,0.71,0.36,0.21
superwaba.csv,0.88,0.59,0.65,0.62,0.57,1.0,0.29,0.05,0.24,0.7,0.66,0.51,0.25,0.91,0.9,0.6,0.37
unflobtactical.csv,0.71,0.35,0.51,0.53,0.56,0.68,0.62,0.02,0.14,0.77,0.61,0.65,0.29,0.91,0.89,0.47,0.32
