,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,2.0,0.0,0.0,23.0,28.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,12.0,0.0,14.0,0.0,2.0
cubefs.csv,1.0,2.0,0.0,31.0,25.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,59.0,0.0,26.0,0.0,3.0
gwanted.csv,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,59.0,62.0,12.0,97.0,0.0
iaml.csv,0.0,3.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,59.0,2.0,62.0,1.0,2.0
java-gnome.csv,13.0,5.0,0.0,38.0,26.0,3.0,0.0,0.0,1.0,28.0,0.0,0.0,59.0,1.0,10.0,0.0,0.0
mecat.csv,1.0,2.0,0.0,4.0,12.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,59.0,62.0,0.0,97.0,1.0
mvdsv.csv,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,59.0,62.0,6.0,97.0,0.0
openwbem.csv,9.0,1.0,0.0,13.0,17.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0
orc.csv,0.0,0.0,0.0,1.0,68.0,0.0,0.0,3.0,0.0,10.0,0.0,2.0,59.0,0.0,11.0,2.0,0.0
plato.csv,3.0,0.0,0.0,17.0,28.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,17.0,0.0,21.0,0.0,3.0
rodin-b-sharp.csv,1.0,4.0,0.0,1.0,21.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,59.0,62.0,17.0,0.0,1.0
ta3d.csv,8.0,2.0,0.0,3.0,68.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,59.0,1.0,62.0,7.0,1.0
tycho.csv,3.0,0.0,0.0,12.0,68.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,0.0,19.0,2.0,1.0
umber.csv,0.0,5.0,0.0,11.0,28.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,16.0,7.0,25.0,0.0,1.0
vienna-add-in.csv,4.0,0.0,0.0,17.0,68.0,0.0,0.0,1.0,0.0,52.0,0.0,0.0,9.0,0.0,36.0,1.0,3.0
wpdev.csv,4.0,0.0,0.0,17.0,26.0,0.0,0.0,1.0,2.0,23.0,0.0,1.0,10.0,0.0,23.0,0.0,3.0
