,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.51,0.5,0.6,0.62,0.65,0.69,0.57,0.62,0.43,0.6,0.73,0.89,0.44,0.95,0.75,0.91,0.7
enzo.csv,0.24,0.62,0.84,0.94,0.94,0.75,0.78,0.64,0.83,0.6,0.95,0.61,1.0,0.63,0.86,0.95,0.79
hydrogen.csv,1.0,1.0,1.0,0.0,1.0,0.75,0.91,1.0,1.0,0.1,1.0,1.0,0.0,1.0,1.0,1.0,0.6
keyczar.csv,0.64,0.1,0.19,0.41,0.22,0.0,0.16,0.14,0.15,0.0,0.18,0.11,0.83,0.15,0.11,0.14,0.21
lphant.csv,0.27,0.7,0.94,0.5,0.65,0.81,0.79,0.95,0.55,0.4,0.73,0.36,0.4,0.42,0.91,0.95,0.67
lsb.csv,0.8,0.37,0.63,0.25,0.62,0.38,0.4,0.38,0.6,0.4,0.32,0.18,0.4,0.14,0.8,0.68,0.44
maya-work-in-progress.csv,0.89,0.77,0.87,0.91,0.85,0.88,0.94,0.88,0.73,0.9,0.82,0.54,0.62,0.97,0.8,0.95,0.81
mcore3d.csv,0.07,0.68,0.67,0.78,0.14,0.31,0.21,0.1,0.18,0.5,0.5,0.57,0.5,0.24,0.52,0.86,0.44
mscore.csv,0.44,0.91,0.94,0.81,0.7,0.94,0.87,0.95,0.77,0.9,0.86,0.93,0.27,0.83,0.7,0.95,0.88
natpad.csv,0.82,0.57,0.54,0.28,0.39,0.69,0.84,0.93,0.57,0.6,0.27,0.89,0.5,0.71,0.3,0.73,0.81
rocrail.csv,0.07,0.31,0.21,0.69,0.59,0.69,0.19,0.71,0.34,0.5,0.73,0.86,0.19,0.95,0.43,0.86,0.74
salasaga.csv,0.93,0.69,0.84,0.41,0.34,0.62,0.87,0.88,0.25,0.9,0.55,0.79,0.48,0.89,0.32,0.82,0.65
virtuoso.csv,0.0,0.97,0.92,1.0,0.82,0.88,0.96,0.45,0.98,0.2,0.91,0.0,0.08,0.98,0.84,0.95,0.0
xemeiah.csv,0.84,0.61,0.52,0.28,0.5,0.75,0.79,0.9,0.58,0.9,0.5,0.75,0.54,0.74,0.55,0.91,0.86
xined.csv,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.08,0.0,0.0,0.0,0.0
xtreemfs.csv,0.56,0.76,0.79,0.25,0.52,0.88,0.78,0.81,0.22,0.9,0.82,0.57,0.06,0.83,0.86,0.86,0.74
yield.csv,0.2,0.93,0.71,0.84,0.67,0.88,0.76,0.9,0.76,1.0,0.91,0.93,0.48,0.94,0.77,0.95,0.77
