,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.25,0.7,0.52,0.55,0.57,0.73,0.48,0.19,0.54,0.44,0.39,0.37,0.42
bdbbasic.csv,0.67,0.06,0.49,0.52,0.65,0.72,0.37,0.19,0.46,0.41,0.5,0.0,0.32
foursquared.csv,0.0,0.0,0.0,0.75,0.0,0.0,0.1,0.12,0.45,0.19,0.27,0.05,0.0
impala.csv,0.7,0.67,0.31,0.27,0.29,0.55,0.42,0.34,0.36,0.4,0.31,0.72,0.37
jicarilla.csv,0.83,0.04,0.15,0.0,0.0,0.07,0.05,0.0,0.11,0.17,0.0,0.0,0.06
ng4j.csv,0.09,0.63,0.56,0.62,0.62,0.67,0.6,0.2,0.54,0.44,0.36,0.68,0.65
open-data-kit.csv,0.44,0.6,0.49,0.51,0.44,0.8,0.6,0.13,0.51,0.46,0.36,0.71,0.45
pentahoanalysistool.csv,0.19,0.7,0.67,0.61,0.56,0.55,0.31,0.19,0.41,0.15,0.15,0.58,0.39
tradelink.csv,0.09,0.7,0.49,0.5,0.57,0.58,0.4,0.21,0.54,0.15,0.5,0.44,0.32
turbotrader-bos.csv,0.0,0.63,0.51,0.59,0.58,0.26,0.35,0.16,0.64,0.26,0.34,0.3,0.41
ultimairis.csv,0.38,0.79,0.54,0.56,0.51,0.73,0.5,0.19,0.53,0.6,0.34,0.84,0.47
wikipediardware.csv,0.47,0.8,0.54,0.53,0.51,0.74,0.59,0.2,0.52,0.41,0.28,0.82,0.41
yafdotnet.csv,0.05,0.61,0.42,0.52,0.41,0.62,0.7,0.15,0.52,0.47,0.36,0.1,0.4
