,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.97,0.82,0.67,0.57,0.56,0.69,0.47,0.7,0.89,0.66,0.66
bscwweasel.csv,0.98,0.86,0.67,0.36,0.49,0.63,0.75,0.68,0.73,0.61,0.47
capcode.csv,0.98,0.78,0.73,0.69,0.76,0.29,0.69,0.73,0.72,0.65,0.66
lamp.csv,0.9,0.42,0.67,0.73,1.0,0.85,0.97,0.54,0.68,0.53,0.76
nodal.csv,0.99,0.67,0.52,0.65,0.91,0.56,0.94,0.7,0.43,0.61,0.35
pydev.csv,0.69,0.55,0.72,0.65,0.57,0.72,0.85,0.84,0.59,0.45,0.75
retromenu.csv,0.98,0.58,0.75,0.76,0.28,0.88,0.65,0.84,0.72,0.83,0.66
smbopensoft.csv,0.26,0.98,0.92,0.66,0.89,0.92,0.65,0.82,0.66,0.82,0.46
stuproa-cims.csv,1.0,0.86,0.61,0.58,0.55,0.76,0.98,0.49,0.83,0.66,0.55
thout.csv,0.78,0.91,0.46,0.6,0.68,0.92,0.95,0.93,0.94,0.66,0.77
uface.csv,1.0,1.0,0.96,0.58,0.73,0.67,0.95,0.72,0.64,0.71,0.11
