,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.19,0.65,0.12,0.34,0.74,0.22,0.12,0.49,0.78,0.65,0.37,0.57,0.35,0.28,0.94,0.94,0.41
arm-webradio.csv,0.33,0.51,0.11,0.31,0.54,0.28,0.02,0.04,0.69,0.73,0.14,0.23,0.38,0.51,0.64,0.97,0.18
bwapi.csv,0.95,0.84,0.94,0.98,0.54,0.98,1.0,0.96,0.34,0.69,1.0,0.9,0.95,1.0,0.15,0.22,0.91
co-ode-owl-plugins.csv,0.57,0.51,0.21,0.62,0.54,0.45,0.04,0.1,0.84,0.97,0.07,0.2,0.4,0.73,0.55,0.97,0.16
firebreath.csv,0.1,0.8,0.58,0.56,0.43,0.36,0.13,0.39,0.73,0.48,0.27,0.37,0.55,0.24,0.09,0.33,0.74
frogatto.csv,0.24,0.53,0.63,0.4,0.43,0.4,0.58,0.77,0.42,0.3,0.9,0.43,0.64,0.99,0.21,0.69,0.57
gretl.csv,0.43,0.69,0.39,0.25,0.97,0.65,0.46,0.5,0.55,0.96,0.34,0.33,0.49,0.53,0.94,0.81,0.34
jasperreports.csv,0.52,0.64,0.94,0.84,0.63,0.84,1.0,0.98,0.66,0.12,0.92,0.67,0.67,0.13,0.55,0.03,0.79
konversation.csv,0.14,0.22,0.2,0.17,0.09,0.27,0.23,0.15,0.14,0.64,0.36,0.17,0.36,0.31,0.06,0.08,0.11
linuxsh.csv,0.24,0.33,0.18,0.06,0.6,0.17,0.06,0.25,0.91,0.76,0.02,0.07,0.2,0.09,0.36,0.64,0.05
moviesandbox.csv,0.71,0.24,0.48,0.35,0.34,0.66,0.15,0.23,0.26,0.8,0.03,0.13,0.22,0.49,0.27,0.42,0.2
ontomorphtab.csv,0.19,0.98,0.79,0.65,0.74,0.73,0.79,0.73,0.69,0.52,0.81,0.57,0.93,0.31,0.82,0.33,0.93
opengs.csv,0.0,0.29,0.14,0.2,0.49,0.32,0.04,0.0,0.29,0.35,0.0,0.13,0.29,0.39,0.15,0.14,0.0
scite-ru.csv,0.86,0.51,0.57,0.72,0.77,0.69,0.29,0.77,0.64,0.92,0.78,0.27,0.55,1.0,0.64,0.92,0.67
tokratan.csv,0.14,0.33,0.16,0.19,0.43,0.23,0.0,0.0,0.04,0.23,0.25,0.3,0.44,0.76,0.0,0.03,0.63
vrjuggler.csv,0.43,0.0,0.18,0.02,0.2,0.07,0.12,0.24,0.19,0.34,0.37,0.03,0.02,0.6,0.33,0.39,0.0
xuggle.csv,0.24,0.6,0.28,0.18,0.54,0.43,0.38,0.41,0.39,0.34,0.39,0.3,0.53,0.96,0.39,0.67,0.38
