,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.74,0.78,0.65,1.0,1.0,0.71,0.56,0.92,0.77,0.61,1.0,0.57,1.18,0.34,0.46
atlc.csv,0.74,0.74,0.69,0.84,0.27,0.9,0.86,0.8,0.98,0.79,0.98,0.71,1.04,0.83,0.51
ipfilter.csv,0.93,0.64,0.73,0.88,0.95,0.9,0.85,0.64,0.96,0.68,0.98,0.7,1.01,0.79,0.11
liferea.csv,0.6,0.51,0.59,0.4,0.66,0.86,0.77,0.64,0.85,0.6,0.78,0.53,0.52,0.87,0.55
miranda-icq.csv,0.66,0.66,0.46,0.93,1.0,0.9,0.7,0.83,0.81,0.67,0.96,0.52,1.04,0.6,0.48
opensim4opencog.csv,0.35,0.51,0.5,0.44,0.73,0.58,0.54,0.5,0.85,0.73,0.68,0.65,0.43,0.58,0.66
pclasses.csv,0.17,0.61,0.86,0.92,1.0,1.04,0.93,0.57,1.0,0.94,0.96,1.0,0.7,0.69,0.93
pfaedit.csv,0.92,0.57,0.52,0.74,1.0,0.49,0.32,0.72,0.94,0.61,0.7,1.0,0.54,0.61,0.93
psrchive.csv,0.78,0.72,0.25,0.82,0.93,0.49,0.82,0.74,0.94,0.68,0.74,0.85,0.4,0.65,0.83
theresa.csv,0.86,0.47,0.48,0.55,0.81,0.24,0.43,0.76,1.0,0.66,0.63,0.74,0.53,0.66,0.7
thrust.csv,1.0,0.9,0.89,0.95,0.65,1.0,0.67,0.89,0.51,0.78,0.79,0.88,0.86,0.65,0.8
tktoolkit.csv,0.83,0.87,0.63,0.78,0.75,0.49,0.69,0.68,0.65,0.7,0.58,0.91,1.04,0.61,0.79
tzod.csv,0.8,0.46,0.55,0.35,0.44,0.45,0.74,0.78,0.83,0.68,0.82,0.64,0.48,0.71,0.67
yaprm.csv,0.65,0.61,0.6,0.92,1.0,0.51,0.82,0.76,0.74,0.47,0.62,0.94,1.01,0.53,0.87
