,0,1,2,3,4,5,6,7,8
guineu.csv,0.0,0.0,0.5,0.0,0.0,0.265,0.0,0.0,0.33
rhex.csv,0.0,0.0,0.33,0.4,0.0,0.125,0.0,0.0,0.33
owlib.csv,0.0,0.55,0.41,0.415,0.55,0.38,0.645,0.55,0.395
ktc.csv,0.395,0.67,0.41500000000000004,0.33,0.67,0.39,0.455,0.67,0.39
jedit.csv,0.355,0.25,0.4,0.165,0.25,0.45,0.57,0.25,0.31
net-snmp.csv,0.0,0.0,0.41500000000000004,0.0,0.0,0.31,0.0,0.0,0.4
encog-java.csv,0.71,0.515,0.67,0.585,0.515,0.6599999999999999,0.8049999999999999,0.515,0.71
umber.csv,0.5,0.0,0.5,0.0,0.0,0.5,0.365,0.0,0.5
jahshakafx.csv,0.305,0.5,0.33999999999999997,0.31,0.5,0.345,0.48,0.5,0.37
jahshaka.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selenium.csv,0.5349999999999999,0.0,0.45,0.5349999999999999,0.0,0.45,0.5349999999999999,0.0,0.365
paintown.csv,0.33,0.0,0.39,0.33,0.0,0.33,0.0,0.0,0.39
h2database.csv,0.37,0.47,0.715,0.365,0.47,0.67,0.775,0.47,0.725
x4x.csv,0.0,0.0,0.27,0.0,0.0,0.25,0.1,0.0,0.25
elmo.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jmoney.csv,0.25,0.0,0.165,0.225,0.0,0.29000000000000004,0.0,0.0,0.0
baadengine.csv,0.7,0.0,0.405,0.0,0.0,0.405,0.585,0.0,0.425
raven-monitoring.csv,0.0,0.0,0.4,0.41500000000000004,0.0,0.41500000000000004,0.41500000000000004,0.0,0.365
smbopensoft.csv,0.5,0.0,0.345,0.255,0.0,0.36,0.635,0.0,0.36
xharbour.csv,0.26,0.13,0.295,0.26,0.13,0.295,0.0,0.13,0.29
flylinkdc.csv,0.41500000000000004,0.0,0.45,0.365,0.0,0.45,0.5,0.0,0.5
reactos-mirror.csv,0.775,0.865,0.5700000000000001,0.905,0.865,0.585,0.905,0.865,0.59
qpe.csv,0.39,0.0,0.685,0.56,0.0,0.7,0.8,0.0,0.685
xbrlapi.csv,0.0,0.0,0.33,0.45,0.0,0.33,0.45,0.0,0.33
prelude.csv,0.0,0.0,0.29000000000000004,0.0,0.0,0.29000000000000004,0.0,0.0,0.25
neoengine.csv,0.425,0.0,0.44,0.41000000000000003,0.0,0.445,0.0,0.0,0.46499999999999997
atunes.csv,0.56,0.0,0.595,0.595,0.0,0.67,0.785,0.0,0.635
avifile.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0
lamp.csv,0.33,0.0,0.5,0.0,0.0,0.585,0.0,0.0,0.5
logicmail.csv,0.165,0.0,0.25,0.125,0.0,0.25,0.0,0.0,0.25
wgs-assembler.csv,0.5,0.27,0.365,0.0,0.27,0.31,0.0,0.27,0.33
plearn.csv,0.425,0.41500000000000004,0.5,0.43,0.41500000000000004,0.5349999999999999,0.43,0.41500000000000004,0.5
werx.csv,0.0,0.5,0.32,0.0,0.5,0.32,0.585,0.5,0.32
openwbem.csv,0.74,0.79,0.55,0.445,0.79,0.555,0.54,0.79,0.5700000000000001
qgo.csv,0.29000000000000004,0.0,0.33,0.2,0.0,0.33,0.25,0.0,0.33
jaql.csv,0.5349999999999999,0.585,0.47,0.45499999999999996,0.585,0.44499999999999995,0.45499999999999996,0.585,0.44
kmatplot.csv,0.39,0.46499999999999997,0.4,0.37,0.46499999999999997,0.45,0.5,0.46499999999999997,0.39
pclasses.csv,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
agilitybook.csv,0.55,0.585,0.73,0.585,0.585,0.5800000000000001,0.585,0.585,0.67
triplea.csv,0.2,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.29000000000000004
raygina.csv,0.25,0.0,0.41500000000000004,0.0,0.0,0.29000000000000004,0.0,0.0,0.41500000000000004
owfs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olap-navigator.csv,0.41500000000000004,0.0,0.5,0.33,0.0,0.45,0.5,0.0,0.5
