,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.75,0.25,1.0,0.37,0.34,0.32,0.26,0.14,0.32,0.55,0.47,0.97
dsworkbench.csv,1.0,0.22,0.83,0.33,0.67,0.27,0.21,0.07,0.44,0.0,0.5,0.96
gogoego.csv,0.75,0.96,1.0,0.67,0.56,0.27,0.3,0.43,0.39,0.74,0.35,0.96
jpaul.csv,0.73,0.27,0.87,1.0,0.55,0.25,0.36,0.0,0.48,0.39,1.0,0.92
loki-lib.csv,0.74,0.32,0.88,0.47,0.44,0.33,0.27,0.08,0.4,0.54,1.0,0.95
motu.csv,0.88,0.39,0.91,0.59,1.0,0.57,0.93,0.5,0.41,0.75,1.0,0.93
mp-rechnungs-und-kundenverwaltung.csv,0.88,0.32,0.9,0.6,0.67,0.27,0.33,0.0,0.98,0.75,0.35,0.96
rtrt-on-gpu.csv,0.78,0.27,0.82,0.22,0.62,0.31,0.2,0.91,0.34,0.68,0.4,0.98
scenemonitor.csv,0.88,0.24,0.86,0.35,0.95,0.38,0.22,0.18,0.35,0.62,0.44,0.98
xstore.csv,0.8,0.32,0.91,0.44,0.58,0.48,0.43,0.43,0.38,0.98,0.49,0.97
yarp0.csv,0.76,0.27,0.89,0.05,0.5,1.0,0.14,0.19,0.36,0.58,0.52,0.96
zemljanka.csv,0.78,0.24,0.88,0.29,0.37,0.36,0.23,0.18,0.32,0.55,0.46,1.0
