,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.54,0.09,0.41,0.54,0.59,0.43,0.62,0.52,0.99,0.34,0.53,0.33,0.64,0.54,0.62,0.52,0.57,0.75
encog-cs.csv,0.5,0.55,0.24,0.39,0.39,0.5,0.97,0.69,0.36,0.55,0.52,0.58,0.35,0.36,0.53,0.4,0.44,0.16
geochat.csv,0.24,0.34,0.0,0.17,0.22,0.6,0.24,0.59,0.56,0.57,0.19,0.58,0.44,0.13,0.45,0.6,1.0,0.12
ibatisdb.csv,0.22,0.38,0.25,0.29,0.26,0.42,0.2,0.11,0.07,0.23,0.09,1.0,0.23,0.33,0.23,0.37,0.42,0.29
inkscape.csv,0.39,0.12,0.96,0.48,0.34,0.31,0.07,0.31,0.06,0.06,0.24,0.13,0.45,0.5,0.16,0.39,0.31,0.29
jam-daq.csv,0.28,0.71,0.15,0.15,0.31,0.33,0.31,0.98,0.25,0.18,0.19,0.29,0.0,0.11,0.57,0.1,0.24,0.51
jhotdraw.csv,0.27,0.17,0.06,0.38,0.1,0.95,0.07,0.21,0.25,0.53,0.06,0.07,0.44,0.19,0.31,0.5,0.31,0.1
ninject.csv,0.02,0.44,0.0,0.02,0.04,0.53,0.15,0.26,0.16,0.59,0.32,0.56,1.0,0.02,0.26,0.0,0.12,0.24
ofbiz.csv,0.38,0.6,0.6,0.63,0.59,0.47,0.47,0.26,0.15,0.24,1.0,0.7,0.57,0.61,0.21,0.28,0.27,0.46
oorexx.csv,0.59,0.68,0.54,0.59,0.54,0.57,0.57,0.56,0.52,0.46,0.55,0.77,0.45,0.61,0.61,0.96,0.23,0.41
opentibia.csv,1.0,0.72,0.24,0.47,0.44,0.54,0.58,0.4,0.34,0.54,0.44,0.77,0.78,0.47,0.42,0.0,0.45,0.7
projectts.csv,0.59,0.79,0.53,0.54,1.0,0.56,0.6,0.6,0.31,0.71,0.58,0.38,0.69,0.51,0.51,0.62,0.51,0.67
retromenu.csv,0.07,1.0,0.19,0.25,0.04,0.12,0.37,0.41,0.15,0.24,0.37,0.13,0.45,0.26,0.31,0.45,0.27,0.07
roolo.csv,0.29,0.71,0.15,0.17,0.0,0.12,0.25,0.16,0.39,1.0,0.34,0.22,0.62,0.16,0.37,0.35,0.31,0.3
tango-cs.csv,0.46,0.59,0.24,0.54,0.56,0.51,0.36,0.56,0.5,0.58,0.3,0.71,0.44,0.55,0.94,0.13,0.57,0.22
trinitycore.csv,0.22,0.52,0.22,0.77,0.26,0.16,0.4,0.54,0.17,0.75,0.49,0.13,0.35,0.94,0.64,0.45,0.52,0.2
uface.csv,0.3,0.52,0.49,0.38,0.26,0.52,0.63,0.27,0.48,0.45,0.63,0.67,0.59,0.38,0.44,0.17,0.43,0.98
uwom-server.csv,0.24,0.6,0.3,0.92,0.1,0.54,0.54,0.69,0.48,0.44,0.59,0.19,0.43,0.87,0.55,0.07,0.41,0.4
