,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.73,0.55,0.65,0.75,0.74,0.88,0.99,0.65,0.87,0.94,0.65,0.68,0.87,0.04,0.66,0.56,0.69
arm-webradio.csv,0.62,0.64,0.67,1.03,0.43,0.55,0.68,0.53,0.67,1.0,0.66,0.48,0.82,0.74,0.51,0.77,0.04
codepurge.csv,0.79,0.63,0.79,0.73,0.84,0.51,0.77,0.89,0.92,0.86,0.31,0.53,0.12,0.65,0.66,0.61,0.66
fw4spl.csv,0.79,0.02,0.82,1.0,0.81,0.94,1.11,0.62,0.87,0.95,0.65,0.85,0.91,0.73,0.76,0.79,0.85
glas.csv,0.8,0.84,0.74,0.76,0.7,0.81,1.02,0.86,0.06,0.9,0.63,0.8,0.65,0.78,0.55,0.76,0.96
grisbi.csv,0.7,0.85,0.65,0.7,0.89,0.55,0.02,0.8,0.69,0.57,0.78,0.76,0.78,0.67,0.93,0.75,0.42
gwanted.csv,1.0,0.9,1.01,0.96,0.04,0.91,0.88,0.97,1.0,0.39,0.86,0.66,0.96,0.98,0.79,0.96,0.89
lcfizvtop.csv,0.8,0.63,0.71,0.99,0.56,0.09,0.49,0.74,0.92,0.77,0.83,0.55,0.69,0.74,0.47,0.83,0.97
ldview.csv,0.1,0.72,0.66,0.89,0.6,0.74,0.7,0.58,0.83,0.73,0.52,0.65,0.69,0.71,0.72,0.68,0.77
libmesh.csv,0.53,0.9,0.95,1.01,0.81,0.68,0.98,0.13,0.78,0.97,0.63,0.83,0.83,0.69,0.84,0.77,0.65
mediaportal.csv,1.0,0.88,0.67,0.93,0.87,0.91,0.83,0.85,0.87,0.84,0.58,0.18,0.92,0.76,0.97,0.84,0.74
olex2.csv,0.77,0.64,0.57,0.42,0.7,0.7,0.37,0.82,0.54,0.71,0.42,0.56,0.89,0.63,0.86,0.03,0.58
oppna-program-hsatools.csv,0.78,0.73,0.92,0.0,0.79,0.88,0.37,0.93,0.79,1.0,0.7,0.89,0.6,0.89,0.77,0.57,0.88
qlc.csv,0.91,0.83,0.06,0.98,0.87,0.91,0.88,0.81,0.79,0.96,0.31,0.66,0.88,0.73,0.81,0.8,0.89
somap.csv,1.0,1.0,1.0,0.96,0.97,1.0,0.86,0.98,0.98,0.01,1.0,1.0,1.0,1.0,0.9,1.0,1.0
wxcode.csv,0.86,0.94,0.73,0.92,0.75,1.04,0.94,1.0,1.0,1.0,0.0,0.69,0.96,0.81,0.91,0.85,1.0
xcf.csv,0.69,0.56,0.49,0.69,0.54,0.54,0.65,0.76,0.67,0.78,0.6,0.55,0.79,0.67,0.03,0.8,0.57
