,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.59,0.8,0.0,0.48,0.9,0.73,0.67,0.9,0.53,0.81,0.36,0.62,0.3,0.44,0.65,0.79,0.93,0.62,0.65
elvishrayrenderer.csv,0.45,0.39,0.49,0.36,0.4,0.49,0.43,0.45,0.41,0.5,0.33,0.5,0.31,0.69,0.39,0.54,0.55,0.45,0.44
graphmak.csv,0.9,0.0,0.0,0.6,0.75,0.75,0.0,0.91,0.92,0.71,0.95,0.8,0.88,0.56,0.8,0.98,0.95,0.94,0.75
jmol.csv,0.48,0.37,0.49,0.43,0.61,0.43,0.53,0.38,0.47,0.62,0.37,0.44,0.35,0.69,0.46,0.55,0.45,0.45,0.33
mesa3d.csv,0.98,0.95,0.76,0.63,0.9,0.69,0.67,0.73,0.61,0.75,0.48,0.72,0.78,0.95,0.99,0.99,0.93,0.72,0.86
minig.csv,0.51,0.4,0.5,0.35,0.45,0.59,0.55,0.42,0.42,0.57,0.38,0.58,0.45,0.45,0.43,0.42,0.49,0.51,0.34
moving-pictures.csv,0.53,0.39,0.89,0.49,0.61,0.68,0.56,0.4,0.48,0.58,0.73,0.41,0.52,0.39,0.91,0.51,0.7,0.53,0.57
ngl.csv,0.64,0.35,0.47,0.39,0.53,0.58,0.56,0.36,0.53,0.54,0.37,0.5,0.46,0.41,0.39,0.56,0.47,0.45,0.43
nunit.csv,0.96,0.94,0.5,0.59,0.96,0.68,0.83,0.49,0.62,0.62,0.57,0.76,0.62,0.92,0.54,0.98,0.55,0.89,0.5
octave.csv,0.47,0.77,0.47,0.35,0.95,0.68,0.82,0.56,0.0,0.81,0.44,0.61,0.62,0.93,0.6,0.67,0.7,0.51,0.5
opengs.csv,0.97,0.9,0.0,0.57,0.63,0.78,0.86,0.74,0.63,0.66,0.62,0.72,0.5,0.92,0.44,0.94,0.53,0.76,0.89
owlib.csv,0.55,0.35,0.55,0.38,0.56,0.57,0.77,0.4,0.48,0.57,0.4,0.68,0.42,0.95,0.56,0.59,0.48,0.51,0.39
prelude.csv,0.42,0.38,0.48,0.35,0.38,0.49,0.4,0.37,0.36,0.44,0.34,0.36,0.3,0.34,0.46,0.45,0.43,0.39,0.37
tokratan.csv,0.59,0.44,0.44,0.75,0.48,0.59,0.86,0.52,0.91,0.91,0.71,0.84,0.9,0.95,0.49,0.6,0.5,0.97,0.38
xfce.csv,0.48,0.45,0.71,0.4,0.53,0.57,0.61,0.4,0.41,0.45,0.37,0.43,0.37,0.47,0.47,0.52,0.55,0.37,0.4
xharbour.csv,0.43,0.38,0.68,0.43,0.67,0.57,0.55,0.4,0.4,0.41,0.4,0.41,0.39,0.4,0.48,0.51,0.43,0.42,0.41
zabbix.csv,0.41,0.39,0.54,0.44,0.49,0.56,0.4,0.38,0.43,0.46,0.37,0.43,0.42,0.68,0.46,0.45,0.49,0.41,0.35
zengine.csv,0.4,0.36,0.44,0.38,0.47,0.45,0.42,0.35,0.36,0.41,0.33,0.33,0.28,0.34,0.41,0.46,0.4,0.35,0.34
zildo.csv,0.47,0.35,0.62,0.49,0.66,0.44,0.68,0.45,0.92,0.85,0.55,0.61,0.55,0.76,0.42,0.53,0.42,0.6,0.36
