,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.36,0.26,0.45,0.02,0.0,0.29,0.41,0.33,0.52,0.01,0.28,0.11,0.24,0.33,0.97,0.59,0.44
all-plasm.csv,0.4,0.58,0.31,0.07,0.32,0.57,0.47,0.36,0.36,0.01,0.39,0.26,0.24,1.0,0.35,0.52,0.39
applet2app.csv,0.49,0.66,0.35,0.02,0.19,0.66,0.95,0.31,0.45,0.01,0.35,0.34,0.49,0.36,0.33,0.58,0.32
autat.csv,0.5,0.64,0.33,0.08,0.38,0.19,0.33,0.24,0.14,0.01,0.06,0.27,0.93,0.22,0.25,0.19,0.31
autowikibrowser.csv,0.46,0.67,0.44,0.02,0.17,0.5,0.51,0.37,0.54,0.02,0.47,0.33,0.29,0.44,0.58,0.93,0.48
gbif-providertoolkit.csv,0.13,0.18,0.39,0.14,0.44,0.36,0.33,1.0,0.25,0.01,0.29,0.26,0.1,0.31,0.04,0.41,0.43
htmlunit.csv,0.44,0.6,0.41,0.04,0.0,0.46,0.3,0.4,0.98,0.01,0.44,0.26,0.37,0.58,0.54,0.51,0.34
kmatplot.csv,0.46,0.48,0.93,0.01,0.0,0.2,0.32,0.25,0.37,0.01,0.28,0.15,0.25,0.15,0.24,0.3,0.21
mcore3d.csv,0.5,0.55,0.35,0.01,0.18,0.99,0.49,0.37,0.44,0.01,0.45,0.29,0.29,0.58,0.48,0.56,0.38
nh3d.csv,0.0,0.49,0.32,1.0,0.69,0.41,0.37,0.38,0.33,0.02,0.17,0.21,0.26,0.73,0.21,0.54,0.42
qgo.csv,0.47,0.95,0.45,0.03,0.08,0.58,0.52,0.34,0.53,0.01,0.51,0.35,0.34,0.43,0.55,0.64,0.38
qtwin.csv,0.0,0.12,0.12,0.0,0.0,0.02,0.04,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.04,0.23
reactos-mirror.csv,0.92,0.56,0.36,0.01,0.24,0.65,0.51,0.31,0.52,0.01,0.51,0.33,0.44,0.45,0.44,0.6,0.32
taokgame.csv,0.33,0.2,0.41,0.0,0.95,0.44,0.25,0.35,0.12,0.01,0.4,0.29,0.29,0.28,0.17,0.37,0.54
unbvision.csv,0.4,0.64,0.33,0.1,0.26,0.49,0.5,0.23,0.47,0.0,0.95,0.25,0.32,0.62,0.41,0.51,0.44
uwom.csv,0.28,0.62,0.31,0.02,0.2,0.65,0.47,0.33,0.42,0.01,0.28,0.32,0.44,0.59,0.45,0.6,0.94
wishmaster.csv,0.01,0.44,0.11,0.33,0.16,0.41,0.25,0.21,0.26,0.0,0.06,0.92,0.21,0.26,0.09,0.44,0.2
