,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.53,0.67,0.58,0.58,0.54,0.56,0.72,0.7,0.49,0.57,0.7,0.01,0.59,0.6,0.52,0.65,0.57,0.63,0.51,0.72
ardour.csv,0.5,0.72,0.51,0.51,0.5,0.51,0.63,0.31,0.42,0.57,0.49,0.73,0.05,0.61,0.51,0.73,0.5,0.5,0.63,0.52
arianne.csv,0.75,0.02,0.73,0.76,0.71,0.69,0.74,0.77,0.59,0.87,0.84,0.74,0.69,0.77,0.89,0.71,0.67,0.76,0.77,0.7
bacnet.csv,0.54,0.8,0.5,0.53,0.5,0.69,0.45,0.62,0.57,0.11,0.64,0.63,0.55,0.65,0.64,0.75,0.5,0.61,0.59,0.72
cortex-vfx.csv,0.62,0.77,0.71,0.6,0.64,0.44,0.67,0.68,0.54,0.69,0.46,0.72,0.63,0.69,0.53,0.94,0.61,0.09,0.74,0.64
emeraldemu.csv,0.84,0.74,0.87,0.04,0.67,0.91,0.65,0.6,0.52,0.87,0.95,0.85,0.6,0.69,0.55,0.98,0.61,0.82,0.74,0.66
fritzing.csv,0.03,0.64,0.44,0.58,0.53,0.54,0.65,0.52,0.46,0.69,0.68,0.72,0.64,0.62,0.94,0.98,0.66,0.75,0.73,0.79
gnupdate.csv,0.78,0.88,0.94,0.8,0.92,0.73,0.78,0.88,0.83,0.79,0.2,0.67,0.61,0.66,0.73,0.93,0.87,0.8,0.73,0.37
grafx2.csv,0.64,0.61,0.58,0.47,0.68,0.62,0.65,0.04,0.44,0.66,0.53,0.66,0.54,0.49,0.65,0.67,0.55,0.51,0.64,0.59
gstreamer.csv,0.68,0.61,0.53,0.62,0.62,0.4,0.62,0.81,0.65,0.6,0.79,0.73,0.72,0.68,0.67,0.7,0.52,0.65,0.02,0.63
keyczar.csv,0.93,0.68,0.69,0.85,0.95,0.78,0.82,0.67,0.85,0.58,0.68,0.71,0.82,0.76,0.59,0.07,0.74,0.83,0.71,0.73
linux-ntfs.csv,0.64,0.78,0.78,0.51,0.54,0.66,0.6,0.43,0.55,0.73,0.58,0.7,0.57,0.66,0.55,0.64,0.69,0.67,0.72,0.0
multitude.csv,0.52,0.7,0.49,0.49,0.5,0.6,0.52,0.37,0.49,0.63,0.58,0.61,0.47,0.03,0.72,0.82,0.42,0.68,0.59,0.6
planeshift.csv,0.54,0.79,0.65,0.64,0.66,0.62,0.03,0.51,0.61,0.65,0.76,0.73,0.86,0.53,0.79,0.68,0.6,0.85,0.78,0.76
rsyslog.csv,0.48,0.64,0.39,0.42,0.53,0.04,0.6,0.35,0.33,0.72,0.63,0.69,0.56,0.68,0.97,1.0,0.45,0.67,0.58,0.57
salasaga.csv,0.96,0.93,0.97,0.87,1.0,0.9,0.84,0.81,1.0,0.88,0.93,0.92,0.92,0.93,0.18,1.0,0.95,0.76,0.89,0.7
wow-qrsk.csv,0.48,0.83,0.51,0.49,0.61,0.67,0.76,0.74,0.03,0.82,0.65,0.88,0.52,0.65,0.88,0.86,0.64,0.7,0.8,0.7
xmoto.csv,0.56,0.65,0.43,0.51,0.56,0.67,0.58,0.58,0.45,0.79,0.94,0.83,0.59,0.67,0.99,0.56,0.04,0.68,0.9,0.93
xuggle.csv,0.65,0.87,0.22,0.52,0.67,0.59,0.74,0.68,0.79,0.86,0.7,0.62,0.64,0.65,0.96,0.84,0.7,0.87,0.82,0.59
yield.csv,0.75,0.6,0.69,0.78,0.03,0.54,0.74,0.44,0.67,0.88,0.76,0.85,0.73,0.7,0.98,0.69,0.8,0.79,0.79,0.91
