,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.19,0.5,0.45,0.56,0.83,0.28,0.42,0.9,0.04,0.54,0.89
elateportal.csv,0.32,0.39,0.0,0.57,0.0,0.15,0.16,0.36,0.65,0.24,1.0
etics.csv,0.06,0.2,1.0,0.67,0.18,0.19,0.21,0.41,0.19,0.33,0.16
lockss.csv,0.0,0.16,0.38,0.33,0.12,0.98,0.14,0.29,0.21,0.25,0.04
pcgen.csv,0.21,0.48,0.39,0.99,0.34,0.32,0.36,0.51,0.49,0.4,0.12
personalaccess.csv,0.32,0.54,0.47,0.62,0.3,0.4,0.38,1.0,0.87,0.43,0.85
pydev.csv,0.26,0.34,0.46,0.57,0.28,0.35,0.33,0.82,0.33,0.94,0.27
rhex.csv,0.96,0.34,0.0,0.52,0.29,0.32,0.31,0.64,0.49,0.39,0.92
stuproa-cims.csv,0.22,0.53,0.4,0.59,0.29,0.36,0.93,0.81,0.58,0.5,0.26
uclmda.csv,0.23,0.24,0.0,0.13,0.0,0.19,0.09,0.2,1.0,0.06,0.12
wgs-assembler.csv,0.29,0.97,0.45,0.17,0.36,0.15,0.2,0.42,0.8,0.29,0.12
