,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.54,0.82,1.01,0.07,0.67,0.9,0.68,0.97,0.87,0.68,0.85,0.81,0.48,0.76
autowikibrowser.csv,0.45,0.61,0.82,0.53,0.53,0.48,0.48,0.49,0.68,0.61,0.48,0.02,0.44,0.54
cities3d.csv,0.79,0.77,1.07,0.85,0.72,0.08,0.77,0.79,0.83,0.69,0.73,0.83,0.77,0.8
kmatplot.csv,0.07,0.84,0.7,0.81,0.71,0.74,0.73,0.84,0.96,0.71,0.78,0.88,0.75,0.74
libarchive.csv,0.55,0.42,0.71,0.57,0.49,0.59,0.52,0.54,0.63,0.58,0.74,0.55,0.66,0.06
lphant.csv,0.56,0.54,0.88,0.57,0.56,0.57,0.58,0.47,0.77,0.63,0.0,0.57,0.6,0.57
mob-sen-plat.csv,0.81,0.81,0.03,0.77,0.9,0.89,0.76,0.76,0.81,0.72,0.87,0.73,0.81,0.76
mscore.csv,0.63,0.59,0.45,0.69,0.67,0.41,0.51,0.02,0.76,0.59,0.7,0.69,0.75,0.49
pidgin.csv,0.53,0.76,0.78,0.68,0.81,0.55,0.04,0.53,0.61,0.63,0.68,0.55,0.49,0.46
quickfast.csv,0.6,0.62,0.73,0.61,0.58,0.71,0.82,0.82,0.76,0.71,0.85,0.76,0.0,0.85
raygina.csv,0.65,0.12,0.93,0.72,0.68,0.34,0.75,0.7,0.72,0.67,0.55,0.64,0.81,1.0
riff-evolve.csv,0.45,0.58,0.77,0.58,0.62,0.5,0.51,0.57,0.69,0.07,0.53,0.38,0.47,0.52
upp-mirror.csv,0.59,0.46,0.9,0.63,0.05,0.68,0.73,0.78,0.7,0.63,0.65,0.76,0.58,0.69
wishmaster.csv,0.93,0.92,0.81,0.87,0.84,0.61,1.0,0.84,0.07,0.82,0.82,0.86,0.97,0.95
