,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,67.0,0.0,97.0,7.0
alsa.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,97.0,5.0
boost.csv,3.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,6.0,0.0,2.0,1.0,4.0,2.0,11.0,0.0,20.0,41.0
fmri-dmt.csv,0.0,222.0,1.0,52.0,78.0,0.0,0.0,0.0,152.0,1.0,1.0,1.0,168.0,0.0,0.0,0.0,97.0,1.0
genecys.csv,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,2.0,23.0,2.0,2.0,6.0,14.0,46.0,0.0
gusanos.csv,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,22.0,10.0,0.0,19.0,2.0,0.0,12.0,0.0,20.0,46.0
hatari.csv,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,7.0,2.0,1.0,1.0,3.0,3.0,1.0,21.0,11.0
n2cms.csv,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,13.0,0.0,2.0,4.0,0.0,2.0,0.0,3.0,14.0,9.0
nug.csv,6.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,5.0,1.0,168.0,2.0,4.0,0.0,6.0,39.0
nuttx.csv,0.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,11.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,17.0,11.0
proftp.csv,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,16.0,5.0,3.0,1.0,0.0,7.0,7.0,1.0,3.0,20.0
pydev.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,15.0,2.0,0.0,4.0,0.0,18.0,6.0
tcl.csv,10.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,36.0,2.0,2.0,0.0,1.0,2.0,67.0,0.0,28.0,40.0
truevision.csv,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,0.0,1.0,2.0,6.0,0.0,97.0,37.0
uclmda.csv,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,14.0,0.0,6.0,0.0,0.0,97.0,101.0
uwom.csv,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,1.0,1.0,0.0,2.0,2.0,6.0,15.0,40.0,0.0
wxjs.csv,121.0,222.0,64.0,52.0,0.0,70.0,259.0,1.0,152.0,396.0,95.0,108.0,168.0,104.0,67.0,1.0,0.0,828.0
wxstudio.csv,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,9.0,5.0,1.0,5.0,0.0,1.0,8.0,0.0,33.0,29.0
