,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.44,0.25,0.21,0.7,0.45,0.03,0.0,0.74,0.65,0.0,0.27,0.33,0.0,0.24,0.11
continuum-ide.csv,0.36,0.25,0.1,0.25,0.0,0.03,0.0,0.0,0.02,0.29,0.31,0.17,0.0,0.05,0.26
fleet-simulator.csv,0.33,0.42,0.57,0.85,0.51,1.0,0.54,0.72,0.65,0.71,0.42,0.17,0.0,0.57,0.84
hydrate.csv,0.05,0.08,0.13,0.05,0.19,0.2,0.06,0.38,0.07,0.14,0.46,0.0,0.0,0.19,0.0
ivef-sdk.csv,0.56,0.25,0.5,0.65,0.62,0.0,0.66,0.38,0.58,0.14,0.02,1.0,0.88,0.43,0.0
jmri.csv,0.69,0.58,0.01,0.45,0.47,0.83,0.8,0.44,0.6,0.36,0.37,0.0,0.75,0.81,0.47
kdenlive.csv,0.0,0.33,0.31,0.65,0.57,0.17,0.34,0.62,0.9,0.5,0.51,0.17,1.0,0.71,0.58
mia.csv,0.05,0.42,0.41,0.25,0.57,0.13,0.4,0.1,0.0,0.43,0.32,0.83,0.12,0.48,0.21
ontopia.csv,0.87,1.0,0.76,0.9,0.87,0.93,0.97,0.62,0.9,0.0,0.88,1.0,1.0,0.81,0.74
opentibia.csv,0.9,0.08,0.55,1.0,0.47,0.27,0.46,0.92,0.96,0.71,0.76,0.0,1.0,0.86,0.89
runuomondains.csv,0.28,0.17,0.19,0.3,0.25,0.63,0.09,0.05,0.01,0.0,0.0,0.5,0.0,0.48,0.11
somap.csv,0.87,1.0,0.94,0.8,0.94,1.0,0.91,0.92,0.78,1.0,0.93,0.0,1.0,1.0,0.95
taverna.csv,0.28,0.08,0.24,0.1,0.0,0.33,0.31,0.08,0.19,0.36,0.19,0.0,0.0,0.29,0.0
tigermud.csv,0.97,0.58,0.7,0.9,0.64,0.07,0.8,0.87,0.87,0.79,0.83,0.5,0.88,0.05,0.84
x-ray-mule.csv,0.33,0.25,0.53,0.0,0.58,0.0,0.49,0.44,0.54,0.36,0.27,0.67,0.0,0.43,0.58
