,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.83,0.79,0.6,0.67,0.71,0.87,0.83,0.87,0.14,0.81
chaosrts.csv,0.96,0.97,1.0,0.77,0.97,0.82,0.88,0.95,1.0,0.02
lazarus-ccr.csv,0.6,0.08,0.64,0.55,0.75,0.67,0.7,0.86,0.75,0.45
linuxsh.csv,0.8,0.79,0.09,0.88,0.68,0.85,0.81,1.0,0.92,0.93
migen.csv,0.55,0.76,0.93,0.69,0.52,0.03,0.83,0.85,0.82,0.68
moviesandbox.csv,0.34,0.8,0.7,0.59,0.05,0.62,0.95,0.94,0.88,0.86
sauerbraten.csv,0.05,0.57,1.0,0.49,0.5,0.59,0.84,0.89,1.0,0.39
scite-ru.csv,0.95,0.76,1.0,0.81,0.89,0.7,0.12,0.75,0.97,0.77
vrjuggler.csv,1.0,0.89,1.0,0.96,0.95,0.87,0.91,0.08,0.94,0.92
xuggle.csv,0.87,0.81,0.95,0.17,0.79,0.86,0.93,0.94,0.88,0.88
