,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.66,0.96,0.49,0.67,0.56,0.98,1.0,1.0,0.22,0.07,0.17,1.0,0.05,0.64,0.0,0.5
galaxium.csv,1.0,1.0,0.48,0.0,0.18,0.0,0.35,0.1,0.44,0.97,0.25,0.9,0.23,0.52,1.0,0.74
hydrate.csv,0.63,0.82,0.53,0.64,0.3,0.21,0.25,0.12,0.24,0.42,0.19,1.0,0.28,0.64,0.07,1.0
ivef-sdk.csv,0.71,0.94,0.5,0.68,0.31,1.0,0.27,0.0,0.28,0.13,0.0,0.88,0.19,0.41,0.03,1.0
jmri.csv,0.65,0.85,0.99,0.62,0.36,0.85,0.45,0.06,0.26,0.29,0.08,0.97,0.22,0.61,0.08,0.63
jython.csv,0.66,0.87,0.51,0.68,0.32,0.91,0.47,1.0,0.25,0.25,0.09,0.92,0.19,0.65,0.08,0.62
kdenlive.csv,0.99,0.93,0.59,0.5,0.3,0.73,0.48,0.37,0.46,0.4,0.16,0.97,0.18,0.59,0.06,0.67
ninject.csv,0.67,0.67,0.48,0.0,0.25,0.75,0.5,0.04,0.75,0.29,0.25,0.91,0.08,0.5,1.0,0.71
ondex.csv,0.52,0.74,0.43,0.5,0.42,0.72,0.0,0.44,0.57,0.25,0.17,0.95,0.97,0.56,0.1,0.69
opentibia.csv,0.68,1.0,0.38,0.6,0.32,0.9,0.57,0.08,0.27,0.32,0.09,0.93,0.13,0.73,0.08,0.68
runuomondains.csv,0.55,0.83,0.25,0.6,0.38,0.97,0.0,0.33,0.67,0.39,1.0,1.0,0.11,0.35,0.07,0.83
somap.csv,0.65,0.87,0.47,0.6,0.34,0.69,0.49,0.13,0.26,0.29,0.12,0.99,0.16,0.62,0.08,0.63
taverna.csv,0.36,0.94,0.42,0.88,1.0,0.5,0.43,0.0,0.1,0.09,0.0,0.91,0.18,0.56,0.05,0.0
tigermud.csv,0.6,0.81,0.37,0.17,0.39,0.0,0.61,0.45,0.09,0.24,0.12,0.9,0.15,0.97,0.08,0.68
unbvision.csv,0.68,0.84,0.46,0.79,0.33,1.0,0.31,0.09,1.0,0.49,0.38,0.92,0.18,0.74,0.14,0.8
x-ray-mule.csv,0.71,0.91,0.49,0.91,0.28,0.62,0.39,0.47,0.25,0.3,0.14,0.9,0.15,0.65,0.07,0.64
