,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.24,1.0,0.05,0.26,0.21,0.62,0.33,0.0,0.45,0.27,0.23,0.48,0.54,0.0,0.54,0.26
chaosrts.csv,0.68,0.41,0.23,0.55,0.29,0.63,0.62,0.62,0.67,0.66,0.42,0.36,0.29,0.0,0.99,0.21
dxengine.csv,0.59,0.0,0.96,0.31,0.81,0.27,0.38,0.0,0.32,0.16,0.16,0.41,0.29,0.0,0.35,0.0
e-bio-flow.csv,0.18,0.35,0.09,0.41,0.11,0.61,0.35,0.37,0.38,0.98,0.17,0.21,0.0,0.0,0.18,0.28
jbpm.csv,0.43,0.14,0.22,0.43,0.26,0.1,0.97,0.37,0.2,0.47,0.28,0.31,0.41,0.0,0.52,0.52
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
jmoney.csv,1.0,0.29,0.13,0.32,0.27,0.35,0.33,0.0,0.47,0.31,0.29,0.57,0.42,0.0,0.33,0.27
jmonkeyengine.csv,0.28,0.39,0.63,0.31,0.76,0.5,0.56,0.35,1.0,0.34,0.24,0.11,0.49,0.67,0.31,0.0
joustsim.csv,0.24,0.14,0.63,0.41,0.21,0.36,0.42,0.36,0.7,0.37,0.31,1.0,0.41,0.0,0.19,0.75
jsidplay2.csv,0.71,0.69,0.48,1.0,0.47,0.47,0.23,0.77,0.41,0.59,0.64,0.48,0.54,0.0,0.52,0.59
log4net.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
piccolo2d.csv,0.24,0.23,0.0,0.0,0.0,0.93,0.32,0.0,0.07,0.04,0.0,0.0,0.0,0.0,0.01,0.0
reaper3d.csv,0.12,0.28,0.0,0.26,0.49,0.18,0.35,0.36,0.32,0.27,0.0,0.21,0.9,0.0,0.07,0.0
sblim.csv,0.12,0.23,0.0,0.1,0.96,0.18,0.05,0.0,0.07,0.12,0.01,0.11,0.0,0.0,0.04,0.29
thedata.csv,0.12,0.14,0.09,0.29,0.0,0.1,0.18,0.66,0.0,0.33,0.2,0.0,0.14,0.0,0.28,1.0
tmva.csv,0.46,0.46,0.56,0.65,0.5,0.61,0.39,0.58,0.64,0.48,0.97,0.4,0.51,0.65,0.48,0.2
