,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.5,0.25,0.43,1.0,0.75,0.24,1.0,0.77,0.26,0.76
aubit4gl.csv,0.24,0.19,0.17,0.13,0.91,0.12,0.56,0.74,0.16,0.2
liferea.csv,0.31,0.0,0.17,1.0,0.46,0.19,0.62,0.87,0.51,0.29
moving-pictures.csv,0.43,0.09,0.16,0.5,0.55,0.12,1.0,0.68,0.25,0.19
opensim4opencog.csv,0.53,0.0,0.33,0.4,0.75,1.0,0.67,0.79,0.73,0.0
plearn.csv,0.96,0.05,0.25,0.17,0.54,0.08,0.49,0.67,0.52,0.19
psrchive.csv,0.67,0.0,1.0,0.33,0.5,0.29,0.0,0.87,0.57,0.27
re2c.csv,0.41,0.86,0.23,0.09,0.63,0.08,0.46,0.69,0.33,0.12
rebecca-aiml.csv,0.52,1.0,0.18,0.16,0.55,0.13,0.37,0.75,1.0,0.18
xfce.csv,0.31,0.12,0.2,0.28,0.52,0.17,0.47,0.98,0.23,0.2
