,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.67,0.12,0.19,0.14,0.55,0.4,0.33,0.32,0.42,0.05,0.18,0.86,0.92,0.06,0.49,0.71,0.15
bwapi.csv,0.68,0.15,0.13,0.11,0.55,0.4,0.34,0.1,0.37,0.18,0.25,0.83,0.61,0.06,0.55,0.98,0.06
co-ode-owl-plugins.csv,0.75,0.18,0.28,0.16,0.64,0.48,1.0,0.94,0.55,0.09,0.11,0.9,0.63,0.05,0.89,0.77,0.24
firebreath.csv,0.75,0.18,0.15,0.2,0.68,1.0,0.31,0.07,0.43,0.12,0.22,0.8,0.62,0.05,0.67,0.72,0.12
frogatto.csv,0.8,0.25,0.16,0.17,0.65,0.46,0.32,0.14,0.48,0.17,0.24,0.86,0.61,0.07,1.0,0.63,0.16
gretl.csv,0.63,0.12,0.14,0.1,0.52,0.4,0.34,0.18,0.36,0.11,0.22,0.99,0.62,0.06,0.57,0.74,0.07
jasperreports.csv,0.75,0.08,0.33,0.17,0.36,0.31,0.24,0.0,0.5,0.12,0.5,0.57,0.75,1.0,0.42,0.83,0.08
konversation.csv,0.47,0.17,1.0,0.24,0.79,0.75,0.17,0.38,0.39,0.09,0.5,0.79,0.54,0.28,0.58,1.0,0.06
linuxsh.csv,0.56,1.0,0.16,0.1,0.55,0.38,0.26,0.12,0.47,0.14,0.31,0.78,0.67,0.09,0.51,0.78,0.04
moviesandbox.csv,0.84,0.28,0.24,0.26,0.98,0.4,1.0,0.33,0.51,0.22,0.21,0.82,0.56,0.05,0.69,0.83,0.14
ontomorphtab.csv,0.97,0.29,0.23,0.34,0.71,0.51,0.5,0.21,0.42,0.17,0.14,0.93,0.68,0.19,0.64,0.63,0.0
opengs.csv,0.5,0.16,0.27,0.27,0.74,0.48,1.0,0.17,1.0,0.17,0.29,0.94,0.74,0.1,0.75,0.75,0.27
scite-ru.csv,0.62,0.12,0.11,0.11,0.62,0.49,0.8,0.22,0.5,0.12,0.21,0.88,0.55,0.03,0.33,0.7,0.06
tokratan.csv,0.86,0.0,0.22,0.17,0.71,0.52,0.45,0.04,0.2,0.88,0.29,0.87,0.56,0.12,1.0,0.92,0.13
vrjuggler.csv,0.43,0.0,0.31,0.23,0.67,1.0,0.25,0.15,1.0,0.0,0.93,1.0,1.0,0.02,0.67,0.58,0.27
wxcode.csv,0.0,0.0,0.67,0.38,0.75,0.62,0.38,0.33,0.0,0.5,0.0,0.96,0.69,0.28,1.0,1.0,1.0
xuggle.csv,0.56,0.16,0.16,0.97,0.56,0.34,0.23,0.14,0.47,0.07,0.0,0.82,0.62,0.03,0.43,0.82,0.13
