,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.38,0.03,0.66,0.82,0.76,0.74,0.0,0.8,0.79,0.36,0.81,0.69
emulemorph.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.6,0.0,0.14,0.1,0.06
fulguro.csv,0.08,0.28,0.12,0.09,0.16,0.37,0.2,0.0,0.0,0.21,0.0,0.03
fw4spl.csv,0.52,0.77,0.0,0.56,0.7,0.61,0.52,0.8,0.79,0.48,0.66,0.72
gnome-jabber.csv,0.6,0.49,0.42,0.58,0.46,0.37,0.64,0.4,0.63,0.82,0.54,0.81
ipfilter.csv,0.85,0.72,0.7,0.98,0.41,0.87,0.48,1.0,0.0,0.65,0.87,0.81
ipfire-wall.csv,0.28,0.08,0.14,0.24,0.03,0.52,0.68,0.0,0.05,0.17,0.2,0.19
libmesh.csv,0.5,0.54,0.4,0.49,0.43,0.11,1.0,0.6,0.32,0.63,0.37,0.47
rockbox.csv,0.38,0.21,0.48,0.22,0.38,0.37,0.08,0.4,0.63,0.32,0.34,0.0
soar.csv,0.68,0.31,0.66,0.43,0.59,0.35,0.04,0.0,0.21,0.47,0.49,0.47
tencompetence.csv,0.42,0.08,0.38,0.41,0.08,0.54,0.56,0.0,0.0,0.03,0.22,0.16
xbrlapi.csv,0.02,0.31,0.27,0.56,0.35,0.59,0.36,0.4,0.26,0.32,0.35,0.16
