,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.46,0.45,0.49,0.41,0.46,0.3,0.36,0.35,0.32,0.59,0.33,0.42,0.51,0.28,0.53
glelite.csv,0.41,0.35,0.41,0.42,0.46,0.3,0.29,0.34,0.35,0.35,0.38,0.37,0.49,0.3,0.43
hannosset.csv,0.75,0.83,0.93,0.8,0.95,0.0,0.75,0.0,0.92,0.86,0.8,0.75,0.89,0.86,0.0
ipfilter.csv,0.43,0.53,0.56,0.45,0.5,0.31,0.33,0.42,0.38,0.4,0.77,0.44,0.6,0.38,0.47
moving-pictures.csv,0.53,0.41,0.61,0.44,0.58,0.34,0.54,0.59,0.74,0.45,0.4,0.67,0.6,0.31,0.67
pclasses.csv,0.91,0.64,0.0,0.0,0.71,0.83,0.83,0.75,0.94,0.41,0.42,0.0,0.75,0.83,0.59
pfaedit.csv,0.75,0.68,0.75,0.53,0.58,0.35,0.53,0.6,0.54,0.89,0.31,0.69,0.64,0.31,0.83
qcad2.csv,0.67,0.89,0.7,0.83,0.6,0.81,0.65,0.62,0.62,0.92,0.65,0.9,0.68,0.75,0.88
rockbox.csv,0.45,0.36,0.54,0.5,0.55,0.33,0.32,0.39,0.42,0.63,0.33,0.4,0.66,0.35,0.47
roller.csv,0.61,0.53,0.7,0.41,0.45,0.47,0.41,0.42,0.43,0.47,0.5,0.39,0.65,0.36,0.67
theresa.csv,0.0,0.0,0.0,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.5,0.0
tzod.csv,0.73,0.58,0.53,0.53,0.39,0.32,0.46,0.35,0.46,0.83,0.42,0.43,0.45,0.3,0.5
xinity.csv,0.62,0.64,0.78,0.48,0.6,0.34,0.71,0.65,0.74,0.94,0.92,0.85,0.97,0.4,0.75
zabbix.csv,0.46,0.41,0.46,0.4,0.47,0.31,0.39,0.39,0.38,0.69,0.38,0.42,0.46,0.29,0.55
