,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.31,0.94,0.41,0.15,0.43,0.4,0.5,0.33,0.24,0.16,0.31,0.21
freedom-erp.csv,0.1,0.0,0.38,0.0,0.04,0.0,0.97,0.0,0.0,0.0,0.0,0.0
javaprofiler.csv,0.62,0.52,0.39,0.36,0.44,0.69,0.02,0.12,0.25,0.13,0.49,0.99
jmoney.csv,0.92,0.19,0.42,0.2,0.41,0.35,0.49,0.15,0.1,0.19,0.37,0.23
jsidplay2.csv,0.53,0.2,1.0,0.37,0.41,0.45,0.61,0.21,0.4,0.58,0.41,0.65
reaper3d.csv,0.22,0.07,0.47,0.32,0.14,0.0,0.37,0.93,0.2,0.23,0.06,0.6
servicestack.csv,0.22,0.39,0.49,0.27,0.5,0.58,0.43,0.12,0.97,0.37,0.45,0.27
springside.csv,0.56,0.61,0.67,0.97,0.49,0.61,0.75,0.15,0.37,0.4,0.51,0.66
swtfox.csv,0.06,0.41,0.3,0.28,1.0,0.75,0.05,0.04,0.4,0.17,0.35,0.69
synecdoche.csv,0.4,0.39,0.72,0.29,0.32,0.49,0.63,0.14,0.0,0.09,0.96,0.33
tmva.csv,0.42,0.44,0.69,0.58,0.35,0.99,0.73,0.13,0.41,0.43,0.55,0.54
wsmt.csv,0.07,0.29,0.03,0.0,0.1,0.04,0.06,0.0,0.08,0.96,0.0,0.12
