,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.72,0.76,0.95,0.82,0.91,0.82,0.88,0.7,0.08,0.82,1.04,0.79,0.8,0.77,0.73
fluidium.csv,0.75,0.66,1.09,0.78,0.73,0.72,0.92,0.8,0.89,0.9,0.79,0.82,0.84,0.03,0.89
guineu.csv,0.05,0.69,0.72,0.75,0.82,0.98,0.87,0.84,0.76,0.75,0.68,1.14,0.7,0.67,0.78
inkscape.csv,0.83,0.74,0.65,0.64,0.9,0.64,0.03,0.63,0.7,0.56,0.85,0.61,0.66,0.59,0.69
mpqc.csv,0.76,0.88,0.95,1.0,1.01,0.1,0.9,0.76,0.96,0.81,0.69,0.8,0.91,0.79,0.93
nsis.csv,0.82,0.95,1.0,0.98,1.0,0.97,0.91,0.94,0.57,0.94,0.0,1.0,0.77,0.9,0.88
octave.csv,0.7,0.69,0.44,0.68,0.14,0.92,0.64,0.72,0.99,0.71,0.8,0.61,0.76,0.72,0.79
owfs.csv,0.54,0.78,0.86,0.0,0.69,0.93,0.76,0.69,0.37,0.65,0.9,0.79,0.44,1.01,0.68
owlib.csv,0.55,0.01,0.57,0.7,0.7,0.84,0.66,0.84,0.68,0.6,0.93,0.87,0.57,0.45,0.62
pamguard.csv,0.74,0.72,1.0,0.92,0.8,0.54,0.92,0.79,0.51,0.82,0.39,0.72,0.76,0.81,0.0
prelude.csv,0.78,0.89,0.0,0.8,0.95,0.7,0.81,0.73,0.63,0.92,0.83,0.61,0.85,0.73,0.87
robocode.csv,0.68,0.59,0.48,0.68,0.67,0.86,0.73,0.06,0.61,0.72,0.79,0.78,0.54,0.68,0.69
uwom-server.csv,0.89,0.9,0.93,0.78,1.0,1.03,0.89,0.89,0.83,0.12,0.98,0.81,0.91,0.71,0.82
zengine.csv,0.95,0.88,0.42,0.83,0.5,0.84,0.79,0.74,0.47,0.69,0.68,0.03,0.95,0.83,0.94
zildo.csv,0.59,0.63,1.03,0.4,0.84,0.73,0.85,0.75,0.51,0.76,0.67,0.89,0.02,0.83,0.64
