,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.35,0.53,0.43,0.33,0.44,0.4,0.36,0.56,0.3,0.54,0.34,0.44,0.37,0.72
flylinkdc.csv,0.7,0.84,0.74,0.45,0.55,0.48,0.48,0.8,0.71,0.43,0.83,0.64,0.64,0.58
grisbi.csv,0.39,0.41,0.38,0.32,0.42,0.31,0.34,0.33,0.32,0.34,0.38,0.45,0.37,0.35
jaolt.csv,0.46,0.44,0.48,0.3,0.54,0.38,0.4,0.38,0.36,0.4,0.9,0.56,0.54,0.36
maidsafe-dht.csv,0.93,0.93,0.86,0.89,0.64,0.88,0.69,0.88,0.9,0.64,0.89,0.55,0.71,0.5
mimosa.csv,0.49,0.47,0.49,0.47,0.55,0.42,0.61,0.54,0.53,0.44,0.51,0.48,0.57,0.64
n2cms.csv,0.52,0.62,0.65,0.53,0.44,0.61,0.52,0.65,0.36,0.57,0.59,0.54,0.6,0.78
nassp.csv,0.93,0.83,0.82,0.86,0.91,0.92,0.8,0.92,0.83,0.79,0.0,0.5,0.89,0.88
nug.csv,0.36,0.39,0.6,0.8,0.75,0.41,0.65,0.36,0.0,0.4,0.91,0.74,0.89,0.56
quantlib.csv,0.97,0.62,0.93,0.8,0.82,0.47,0.77,0.83,0.88,0.44,0.96,0.94,0.96,0.74
red5.csv,0.43,0.53,0.53,0.53,0.52,0.43,0.44,0.51,0.56,0.34,0.38,0.48,0.49,0.45
super-tux.csv,0.36,0.38,0.39,0.38,0.41,0.31,0.36,0.4,0.35,0.35,0.36,0.44,0.36,0.35
tcvp.csv,0.75,0.92,0.67,0.5,0.88,0.89,0.91,0.92,0.0,0.67,0.89,0.88,0.9,0.8
zxing.csv,0.48,0.52,0.5,0.33,0.48,0.61,0.36,0.42,0.37,0.44,0.47,0.5,0.55,0.41
