,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.79,0.52,0.58,0.33,0.22,0.92,0.22,0.3,0.44,0.32,0.6,0.36,0.53
grafx2.csv,0.64,0.67,0.76,0.62,0.28,0.54,0.53,0.44,1.0,0.71,0.43,0.57,0.5
jahshakafx.csv,0.97,0.39,0.52,0.12,0.14,0.39,0.25,0.19,0.09,0.38,0.33,0.29,0.42
kftpgrabber.csv,0.59,0.61,0.58,0.42,0.4,0.51,0.25,0.63,0.79,0.97,0.97,0.71,0.56
kindb.csv,0.85,0.84,0.82,0.75,0.44,0.7,0.69,0.74,0.7,0.97,0.77,0.64,0.67
maya-work-in-progress.csv,0.98,0.81,0.88,0.92,0.74,0.89,1.0,0.96,0.79,0.76,0.9,0.93,0.78
netatalk.csv,0.74,0.66,0.61,0.58,0.38,0.56,0.31,0.52,0.58,0.44,0.73,1.0,0.42
nullc.csv,0.61,0.76,1.0,1.0,0.98,0.7,0.75,0.7,0.88,0.97,1.0,0.93,0.78
plee-the-bear.csv,0.18,0.1,0.79,0.04,0.64,0.39,0.5,0.48,0.05,0.26,0.2,0.29,0.53
reaper-ecad.csv,0.51,0.2,0.79,0.96,0.56,0.44,0.69,0.26,0.4,0.68,0.43,0.5,0.61
unimrcp.csv,0.51,0.35,0.3,0.33,0.22,0.26,0.22,1.0,0.3,0.32,0.43,0.36,0.19
unladen-swallow.csv,0.07,0.53,0.39,0.21,0.32,0.29,0.69,0.33,0.28,0.68,0.17,0.29,0.33
xmoto.csv,0.83,0.82,0.79,0.71,0.52,0.73,0.59,0.93,0.74,0.88,0.8,1.0,1.0
