,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.53,0.35,0.4,0.76,0.8,0.67,0.8,0.8,0.48,0.88,0.75,0.99,0.86,0.72,0.57,0.69,0.85,0.92
arsenal-1.csv,0.52,0.5,0.93,0.37,0.63,0.44,0.53,0.52,0.8,0.9,0.83,0.66,0.88,0.92,0.5,0.73,0.85,0.94
atomsite.csv,0.61,0.86,0.6,0.51,0.55,0.35,0.6,0.35,0.46,0.48,0.73,0.6,0.83,0.67,0.5,0.74,0.61,0.54
barracudamvc.csv,0.35,0.49,0.33,0.37,0.83,0.28,0.4,0.33,0.34,0.31,0.4,0.39,0.58,0.34,0.35,0.32,0.47,0.28
emisview.csv,0.71,0.0,0.8,0.95,0.69,0.9,0.43,0.75,0.57,0.65,0.92,0.96,0.75,0.84,0.83,0.54,0.95,0.53
findbugs.csv,0.53,0.47,0.76,0.83,0.71,0.89,0.77,0.89,0.58,0.93,0.89,0.71,0.54,0.88,0.89,0.67,0.94,0.5
jitterbit.csv,0.45,0.46,0.74,0.49,0.62,0.55,0.94,0.66,0.5,0.52,0.86,0.73,0.97,0.9,0.47,0.61,0.57,0.31
lite.csv,0.62,0.0,0.87,0.93,0.83,0.59,0.89,0.75,0.86,0.88,0.0,0.98,0.75,0.74,0.67,0.77,0.9,0.93
megasquirtavr.csv,0.35,0.39,0.28,0.35,0.85,0.27,0.4,0.36,0.31,0.3,0.41,0.45,0.5,0.32,0.37,0.32,0.42,0.28
ontopia.csv,0.4,0.38,0.3,0.36,0.88,0.27,0.38,0.4,0.47,0.36,0.4,0.45,0.5,0.37,0.38,0.37,0.45,0.32
openintents.csv,0.52,0.44,0.38,0.58,0.75,0.5,0.39,0.36,0.36,0.32,0.67,0.6,0.53,0.75,0.4,0.37,0.69,0.35
rectracker.csv,0.42,0.42,0.4,0.35,0.61,0.3,0.41,0.64,0.35,0.53,0.45,0.55,0.54,0.36,0.53,0.49,0.47,0.41
stajistics.csv,0.48,0.49,0.86,0.59,0.71,0.71,0.48,0.56,0.4,0.64,0.9,0.68,0.63,0.76,0.46,0.53,0.68,0.55
trackit.csv,0.56,0.44,0.45,0.46,0.54,0.5,0.58,0.89,0.83,0.86,0.52,0.55,0.84,0.45,0.75,0.64,0.53,0.54
wxlua.csv,0.45,0.53,0.86,0.35,0.58,0.35,0.47,0.46,0.45,0.8,0.45,0.6,0.52,0.41,0.46,0.42,0.51,0.36
x4x.csv,0.4,0.44,0.58,0.43,0.88,0.35,0.59,0.42,0.41,0.73,0.57,0.69,0.87,0.42,0.35,0.64,0.56,0.73
xharbour.csv,0.33,0.36,0.35,0.36,0.61,0.39,0.62,0.36,0.39,0.67,0.68,0.53,0.57,0.46,0.5,0.54,0.63,0.28
