,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.09,0.39,0.05,0.4,0.25,0.5,0.41,0.12,0.92,0.34,0.3
emono.csv,0.57,0.61,0.79,1.0,0.62,0.67,0.63,0.5,0.42,0.62,0.96
haggle.csv,0.52,1.0,0.05,0.4,0.0,0.33,0.39,0.0,0.72,0.0,0.0
hannosset.csv,0.0,0.0,0.0,0.2,0.0,0.83,0.0,0.0,0.0,0.0,0.04
jas.csv,0.3,0.24,0.13,0.2,0.12,0.17,0.39,1.0,0.4,0.38,0.41
jgossipforum.csv,0.0,0.04,0.0,0.8,0.12,0.0,0.02,0.0,0.05,0.0,0.0
madman.csv,0.0,0.08,0.23,0.0,0.88,0.0,0.1,0.0,0.02,0.03,0.04
mediate.csv,0.48,0.32,0.87,1.0,0.25,0.67,0.44,1.0,0.38,0.52,0.46
ngl.csv,0.52,0.58,0.67,0.6,0.88,0.67,0.99,0.38,0.68,0.48,0.51
pustefix.csv,0.96,0.05,0.28,1.0,0.25,0.0,0.11,0.88,0.38,0.1,0.09
synecdoche.csv,0.35,0.18,0.74,0.6,0.25,0.83,0.43,0.5,0.25,0.93,0.48
