,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.56,0.24,0.41,1.0,0.71,0.41,0.56,0.41,0.26,0.13,0.19,0.76,0.38,0.6,0.55,0.32
betoffice.csv,0.41,0.38,0.09,0.53,0.63,0.3,0.36,0.93,0.18,0.38,0.39,0.57,0.28,0.6,0.54,0.46
bionote.csv,0.27,0.0,0.22,0.0,0.13,0.15,0.09,0.0,0.39,0.02,0.05,0.06,0.93,0.09,0.11,0.11
bnetd.csv,0.75,0.83,0.3,0.58,0.67,0.41,0.19,0.54,0.48,0.49,0.99,0.81,0.38,0.78,0.45,0.77
elvishrayrenderer.csv,0.71,0.77,0.23,0.43,0.69,0.55,0.48,0.41,0.45,0.87,0.5,0.75,0.31,0.53,0.47,0.99
emisview.csv,0.21,0.0,0.0,0.43,0.41,1.0,0.13,0.15,0.18,0.09,0.0,0.37,0.32,0.1,0.15,0.16
hazelcast.csv,0.84,0.79,0.45,0.55,1.0,0.48,0.67,0.6,0.42,0.72,0.68,0.93,0.24,0.79,0.55,0.71
jitterbit.csv,0.53,0.7,0.26,0.3,0.53,0.27,0.13,0.33,0.97,0.15,0.53,0.18,0.25,0.29,0.41,0.44
jppf-project.csv,0.79,0.9,0.34,0.49,0.83,0.41,0.62,0.67,0.3,0.96,0.69,1.0,0.22,0.61,0.48,0.79
l2j.csv,0.69,0.71,0.16,0.41,0.88,0.47,0.46,0.64,0.31,0.77,0.58,0.89,0.21,0.99,0.42,0.72
megasquirtavr.csv,0.88,0.9,0.82,0.49,0.91,0.46,0.78,0.65,0.45,0.96,0.69,0.96,0.24,0.85,0.48,0.79
stajistics.csv,0.61,0.43,0.19,0.55,0.62,0.47,0.33,0.13,0.29,0.58,0.49,0.72,0.2,0.73,0.97,0.68
trackit.csv,0.76,0.79,0.48,0.36,0.63,0.2,1.0,0.59,0.34,0.72,0.56,0.74,0.11,0.65,0.28,0.57
wxlua.csv,0.75,0.88,0.32,0.48,0.85,0.21,0.76,0.5,0.37,0.99,0.61,0.65,0.21,0.78,0.43,0.65
x4x.csv,0.99,0.77,0.26,0.55,0.82,0.47,0.73,0.59,0.26,0.34,0.57,0.88,0.25,0.82,0.43,0.71
xharbour.csv,0.86,0.99,0.41,0.47,0.9,0.41,0.77,0.57,0.42,0.73,0.63,0.78,0.2,0.83,0.45,0.7
