,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,0.67,0.03,0.78,0.78,0.4,0.31,0.47,0.51,0.74,0.9,0.56,0.51,0.72,0.43,0.63,0.61,0.67,0.58,0.66
boost-sandbox.csv,0.67,0.14,0.64,0.42,0.4,0.38,0.21,0.03,0.61,0.58,0.4,0.57,0.45,0.46,0.63,0.47,0.65,0.7,0.72
dspace-gsoc.csv,0.15,0.0,0.12,0.33,0.2,0.12,0.26,0.41,0.37,0.58,0.16,0.05,0.38,0.3,0.11,0.07,0.3,0.14,0.32
enlightenment.csv,0.53,0.14,0.24,0.4,0.0,0.19,0.01,0.46,0.47,0.49,0.28,0.27,0.59,0.38,0.47,0.63,0.16,0.31,0.4
fceugc.csv,0.37,0.31,0.18,0.27,0.0,0.28,0.28,0.18,0.29,0.46,0.0,0.22,0.1,0.22,0.37,0.16,0.16,0.08,0.23
gnukeda.csv,0.65,0.03,0.56,0.69,0.2,0.0,0.26,0.62,0.34,0.76,0.49,0.32,0.66,0.28,0.58,0.34,0.26,0.43,0.37
jaolt.csv,0.32,0.24,0.3,0.39,0.2,0.09,0.19,0.15,0.61,0.78,0.35,0.32,0.0,0.2,0.37,0.33,0.34,0.26,0.41
knowledge.csv,0.98,0.41,0.98,0.95,0.0,0.78,0.6,1.0,0.84,0.82,0.81,0.78,0.72,1.0,1.0,0.99,0.82,0.87,0.91
kowari.csv,0.0,0.03,0.0,0.01,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
lufa-lib.csv,0.3,0.17,0.5,0.08,0.4,0.62,0.42,0.46,0.39,0.23,0.33,0.32,0.24,0.24,0.21,0.01,0.24,0.48,0.24
maidsafe-dht.csv,0.0,0.0,0.18,0.12,0.2,0.09,0.08,0.03,0.08,0.19,0.28,0.16,0.24,0.07,0.21,0.24,0.09,0.12,0.13
pixel-commandos.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
playerstage.csv,0.5,0.93,0.54,0.0,0.4,0.34,0.1,0.28,0.55,0.21,0.21,0.22,0.17,0.53,0.37,0.7,0.26,0.57,0.37
proftp.csv,0.22,0.07,0.24,0.37,0.2,0.28,0.24,0.26,0.26,0.49,0.47,0.0,0.62,0.19,0.21,0.59,0.31,0.34,0.4
tcvp.csv,0.17,0.03,0.28,0.18,0.6,0.34,0.18,0.08,0.16,0.22,0.26,0.14,0.24,0.0,0.21,0.32,0.31,0.24,0.34
theresa.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.01
uwom.csv,0.42,1.0,0.22,0.11,0.4,0.69,0.84,0.0,0.11,0.36,0.42,0.49,0.1,0.35,0.21,0.96,0.07,0.49,0.0
xapian.csv,0.42,0.1,0.32,0.34,0.4,0.22,0.23,0.41,0.29,0.47,0.42,0.41,0.14,0.47,0.42,0.29,0.01,0.42,0.24
yaprm.csv,0.23,0.03,0.26,0.64,0.4,0.38,0.14,0.51,0.0,0.36,0.67,0.57,0.31,0.14,0.16,0.02,0.42,0.16,0.31
