,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.68,0.44,0.4,0.32,0.54,0.51,0.52,0.38,0.57,0.42,0.54,0.56,0.62,0.85,0.37,0.42,0.44,0.44,0.4
fityk.csv,0.56,0.52,0.45,0.45,0.62,0.52,0.43,0.62,0.54,0.5,0.47,0.4,0.88,0.5,0.61,0.44,0.63,0.43,0.35
ivataopenportal.csv,0.49,0.49,0.51,0.42,0.47,0.56,0.39,0.49,0.48,0.58,0.57,0.57,0.59,0.52,0.38,0.49,0.75,0.5,0.34
lcfizvtop.csv,0.52,0.51,0.61,0.7,0.45,0.8,0.5,0.56,0.57,0.7,0.82,0.9,0.89,0.59,0.44,0.93,0.67,0.64,0.41
lite.csv,0.69,0.98,0.77,0.92,0.86,0.95,0.86,0.59,0.8,0.65,0.67,0.83,0.0,0.54,0.69,0.75,0.83,0.83,0.91
onotoa.csv,0.43,0.58,0.5,0.35,0.49,0.51,0.54,0.4,0.39,0.48,0.79,0.52,0.61,0.56,0.5,0.58,0.56,0.5,0.39
openwbem.csv,0.5,0.64,0.49,0.4,0.54,0.48,0.43,0.39,0.54,0.4,0.53,0.39,0.69,0.47,0.42,0.57,0.51,0.6,0.48
orc.csv,0.91,0.83,0.0,0.93,0.57,0.8,0.5,0.57,0.0,0.65,0.0,0.8,0.67,0.87,0.55,0.5,0.76,0.75,0.8
plato.csv,0.43,0.57,0.45,0.34,0.49,0.51,0.45,0.45,0.41,0.49,0.46,0.4,0.51,0.42,0.45,0.46,0.45,0.44,0.35
rodin-b-sharp.csv,0.61,0.98,0.68,0.96,0.96,0.88,0.61,0.78,0.88,0.68,0.83,0.79,0.0,0.9,0.5,0.91,0.73,0.93,0.75
ta3d.csv,0.36,0.48,0.4,0.31,0.37,0.43,0.4,0.31,0.38,0.37,0.39,0.33,0.44,0.36,0.42,0.38,0.35,0.41,0.32
tycho.csv,0.49,0.5,0.45,0.61,0.67,0.5,0.55,0.56,0.55,0.49,0.66,0.47,0.58,0.58,0.58,0.52,0.52,0.55,0.34
umber.csv,0.58,0.94,0.97,0.51,0.9,0.62,0.86,0.75,0.63,0.76,0.87,0.92,0.83,0.88,0.75,0.79,0.49,0.9,0.52
vienna-add-in.csv,0.48,0.49,0.42,0.31,0.53,0.47,0.42,0.35,0.41,0.43,0.4,0.37,0.41,0.4,0.5,0.35,0.41,0.4,0.29
wpdev.csv,0.34,0.49,0.39,0.29,0.4,0.43,0.39,0.35,0.39,0.38,0.39,0.34,0.4,0.32,0.36,0.35,0.34,0.4,0.28
xcmetadataservicestoolkit.csv,0.38,0.62,0.47,0.4,0.53,0.46,0.4,0.71,0.75,0.65,0.55,0.38,0.9,0.4,0.88,0.54,0.56,0.77,0.36
yarp0.csv,0.43,0.68,0.95,0.63,0.51,0.59,0.48,0.71,0.71,0.56,0.45,0.8,0.94,0.44,0.46,0.83,0.44,0.67,0.46
