,recall,precision,pf,wins
ardour.csv,0.475,0.615,0.2,11
cornerstone.csv,0.435,0.585,0.2,10
emeraldemu.csv,0.455,0.63,0.135,15
grafx2.csv,0.505,0.62,0.225,12
jahshakafx.csv,0.26,0.7,0.11,13
kindb.csv,0.685,0.5549999999999999,0.36,9
maya-work-in-progress.csv,0.66,0.5,0.51,5
netatalk.csv,0.39,0.6799999999999999,0.135,17
novembre.csv,0.37,0.6699999999999999,0.14,14
ns-3.csv,0.73,0.52,0.59,6
nullc.csv,0.8,0.405,0.755,1
open-beos.csv,0.71,0.475,0.585,4
planeshift.csv,0.645,0.5,0.45,7
plee-the-bear.csv,0.575,0.435,0.705,0
reaper-ecad.csv,0.455,0.405,0.415,2
sbml.csv,0.755,0.535,0.49,8
unimrcp.csv,0.28500000000000003,0.705,0.1,16
unladen-swallow.csv,0.27,0.44,0.28500000000000003,3
