,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.98,1.0,0.83,1.0,0.05,0.67,0.88,0.97,0.93,1.0,1.0,0.88,0.98,0.93,0.83,0.94
codeblocks.csv,0.56,0.03,0.77,0.77,0.76,0.97,1.01,0.57,0.92,0.91,0.91,0.82,0.82,0.97,0.83,0.75
grisbi.csv,0.88,0.76,0.98,0.97,0.96,0.78,0.0,0.98,0.89,0.93,0.89,0.73,0.43,0.95,0.9,0.75
libmesh.csv,0.86,0.97,0.75,0.84,0.73,0.72,0.74,0.81,0.08,0.74,0.6,0.93,0.81,0.72,0.92,0.99
mesa3d.csv,0.85,0.79,0.8,0.79,0.77,0.59,0.88,0.78,0.87,0.7,0.83,0.81,0.89,0.82,0.71,0.12
panda3d.csv,0.93,0.72,0.82,0.91,0.69,0.83,0.79,0.93,0.87,0.68,0.84,0.07,0.89,0.84,0.71,0.75
proftp.csv,0.78,0.75,0.57,0.73,0.82,0.04,0.82,0.81,0.95,0.78,0.63,0.74,0.91,0.69,0.75,0.75
qmmp.csv,0.57,0.63,0.69,0.62,0.71,0.53,0.41,0.81,0.78,0.78,0.61,0.67,0.55,0.94,0.02,0.66
red5.csv,0.76,0.68,0.71,0.0,0.59,0.81,0.45,0.46,0.82,0.6,0.62,0.88,0.79,0.96,0.7,0.81
soar.csv,0.75,0.73,0.59,0.83,0.81,0.73,0.81,0.6,0.69,0.85,0.92,0.83,1.01,0.03,0.87,0.86
super-tux.csv,0.66,1.0,0.66,0.78,1.0,0.81,1.0,0.6,1.0,1.0,0.97,0.97,0.0,0.97,1.0,1.0
t-2.csv,0.6,0.78,0.68,0.65,0.78,0.97,0.87,0.08,0.77,0.73,0.59,0.82,0.7,0.95,0.89,0.77
tart.csv,0.93,0.99,0.87,1.0,1.0,0.91,0.98,1.02,1.0,1.0,0.0,0.98,0.98,0.84,0.97,1.0
tcvp.csv,0.85,0.77,0.69,0.84,0.84,0.62,0.88,0.97,0.96,0.11,0.82,0.65,0.86,0.85,0.72,0.79
utgb.csv,0.84,0.77,0.03,0.85,0.78,0.84,1.0,0.63,0.61,0.8,0.86,0.73,1.02,0.79,0.86,0.71
xbrlapi.csv,0.05,0.81,0.97,0.66,0.8,0.76,0.92,0.73,0.8,0.78,0.9,0.74,0.84,0.71,0.72,0.9
