,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.51,0.73,0.69,0.85,0.5,0.62,0.83,0.78,0.62,0.8,0.62,0.8,0.57
grafx2.csv,0.51,0.45,0.48,0.5,0.8,0.51,0.48,0.56,0.45,0.32,0.45,0.5,0.51
jahshakafx.csv,0.51,0.63,0.75,0.94,0.7,0.65,0.83,0.89,0.69,0.54,0.68,0.5,0.69
kftpgrabber.csv,0.71,0.59,0.84,0.97,0.67,0.73,0.75,0.41,0.53,0.56,0.55,0.46,0.81
kindb.csv,0.34,0.4,0.51,0.48,0.37,0.42,0.42,0.35,0.38,0.39,0.4,0.38,0.4
maya-work-in-progress.csv,0.37,0.42,0.42,0.43,0.54,0.36,0.5,0.38,0.49,0.29,0.35,0.47,0.47
netatalk.csv,0.66,0.77,0.98,0.94,0.67,0.82,0.86,0.93,0.62,0.58,0.65,0.71,0.89
nullc.csv,0.46,0.48,0.4,0.53,0.45,0.39,0.51,0.45,0.54,0.45,0.42,0.41,0.49
plee-the-bear.csv,0.98,0.9,0.96,0.5,0.84,0.99,0.7,0.74,0.93,0.61,0.95,0.63,0.72
reaper-ecad.csv,0.55,0.85,0.56,0.96,0.57,0.67,0.51,0.88,0.41,0.83,0.53,0.53,0.6
unimrcp.csv,0.93,0.99,0.97,0.94,0.58,0.97,0.5,0.64,0.8,0.67,0.65,0.5,0.8
unladen-swallow.csv,0.96,1.0,0.74,0.85,0.81,0.88,0.58,0.66,0.73,0.5,0.9,0.64,0.65
xmoto.csv,0.5,0.54,0.59,0.7,0.5,0.44,0.75,0.45,0.51,0.47,0.47,0.5,0.53
