,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.51,0.5,0.38,1.0,0.69,0.61,0.25,0.5,0.91,0.54,0.56,0.68,0.38,0.33,0.12,0.89,0.58,0.56,0.19,0.8
bibletime.csv,0.52,0.49,0.31,0.62,0.73,0.33,0.21,0.44,0.89,0.47,0.49,0.8,0.38,0.32,0.09,1.0,0.46,0.52,0.09,0.66
critterding.csv,0.45,0.97,0.35,0.56,0.74,0.39,0.22,0.46,0.88,0.41,0.51,0.78,0.42,0.5,0.11,0.88,0.42,0.51,0.15,0.7
etics.csv,0.51,0.67,1.0,0.58,0.71,0.5,0.22,0.48,0.89,0.42,0.46,0.65,0.29,0.3,0.05,0.84,0.45,0.52,0.21,0.7
fmri-dmt.csv,0.56,0.0,0.67,1.0,0.8,0.33,0.0,0.67,0.0,0.0,0.0,1.0,0.0,1.0,0.8,1.0,0.0,0.0,0.27,0.89
genecys.csv,0.42,0.44,0.24,0.52,0.68,0.34,0.18,0.39,1.0,0.34,0.43,0.68,0.33,0.27,0.08,0.82,0.36,0.45,0.11,0.67
genoviz.csv,0.0,0.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
kftpgrabber.csv,0.4,0.56,0.64,0.51,0.77,0.33,0.41,0.47,0.89,0.68,0.53,0.83,0.97,0.28,0.12,0.84,0.44,0.68,0.17,0.7
kvs.csv,0.4,0.41,0.26,0.52,0.72,0.31,1.0,0.48,0.71,0.69,0.64,0.93,0.67,0.5,0.0,1.0,0.47,0.64,0.27,0.85
mcore3d.csv,0.44,0.54,0.28,0.43,0.98,0.41,0.16,0.4,0.87,0.32,0.48,0.74,0.36,0.4,0.09,0.91,0.47,0.51,0.09,0.68
miranda.csv,0.48,0.52,0.78,0.67,0.76,0.4,0.3,0.55,0.92,0.4,0.52,0.79,0.51,0.28,0.22,0.94,0.45,0.62,0.14,1.0
modplug.csv,0.41,0.49,0.26,0.53,0.68,0.36,0.23,0.5,0.9,0.41,0.46,1.0,0.43,0.41,0.1,0.91,0.48,0.5,0.09,0.66
monetdb.csv,0.41,0.48,0.43,0.58,0.62,0.31,0.2,0.5,0.93,0.96,0.56,0.69,0.42,0.4,0.1,0.75,0.49,0.5,0.1,0.68
netatalk.csv,0.53,0.83,0.5,0.9,0.76,0.43,0.27,0.67,0.92,0.71,0.76,0.92,0.67,1.0,0.07,0.92,0.65,0.81,0.29,0.79
ogrehg.csv,0.45,0.48,0.5,0.65,0.83,0.4,0.33,1.0,0.91,0.45,0.57,0.72,0.4,0.5,0.0,0.84,0.53,0.54,0.19,0.74
passwordsafe.csv,0.41,0.48,0.3,0.58,0.79,0.41,0.36,0.5,0.88,0.47,0.54,0.92,0.52,0.38,0.05,0.86,0.98,0.68,0.13,0.73
projecteqemu.csv,0.6,0.64,0.5,0.69,0.73,0.47,0.12,0.49,0.92,0.55,1.0,0.92,0.64,0.75,0.08,0.92,0.7,0.7,0.2,0.74
reactos-mirror.csv,0.99,0.51,0.22,0.51,0.74,0.37,0.18,0.4,0.91,0.36,0.49,0.71,0.35,0.29,0.05,0.83,0.42,0.46,0.11,0.68
xbplayer.csv,0.5,0.5,0.67,0.73,0.77,1.0,0.5,0.51,0.73,0.67,0.73,0.73,0.68,0.62,0.13,0.92,0.5,0.88,0.15,0.72
xmoto.csv,0.4,0.49,0.31,0.55,0.75,0.36,0.39,0.47,0.89,0.46,0.55,0.83,0.53,0.35,0.08,0.85,0.48,1.0,0.13,0.71
