,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.29,0.06,0.24,0.3,0.24,0.35,0.33,0.45,0.32,0.27,0.22,0.17,0.0,0.21,0.17,0.06,0.16
delphilhlplib.csv,0.88,0.06,0.39,0.54,0.74,0.52,0.78,0.45,0.53,0.55,0.68,0.43,0.64,0.55,0.84,0.65,0.93
exordium.csv,0.33,0.11,0.01,0.0,0.44,0.13,0.44,0.08,0.06,0.14,0.12,0.06,0.15,0.86,0.19,0.29,0.42
fltk.csv,0.38,0.39,0.01,0.38,0.29,0.19,0.33,0.27,0.19,0.13,0.14,0.11,0.2,0.14,0.21,0.06,0.42
genoviz.csv,0.04,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gzigzag.csv,0.46,0.39,0.43,0.12,0.01,0.29,0.33,0.43,0.38,0.46,0.41,0.36,0.07,0.34,0.12,0.24,0.22
irrlicht.csv,0.79,0.22,0.82,0.89,0.31,0.77,0.56,0.06,0.98,0.82,0.91,0.81,0.47,0.07,0.82,0.35,0.49
moast.csv,1.0,0.89,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96
mptvseries.csv,0.54,0.06,0.17,0.3,0.17,0.0,0.44,0.24,0.4,0.03,0.13,0.15,0.16,0.24,0.16,0.0,0.4
openfrag.csv,0.88,0.39,0.42,0.77,0.48,0.52,0.78,0.53,0.94,0.63,0.36,0.0,0.42,0.52,0.67,0.29,0.64
qse.csv,0.38,0.44,0.26,0.3,0.3,0.26,0.56,0.31,0.0,0.25,0.13,0.25,0.18,0.45,0.23,0.29,0.69
sauerbraten.csv,0.0,0.28,0.04,0.14,0.1,0.19,0.44,0.25,0.0,0.27,0.13,0.09,0.27,0.1,0.23,0.18,0.49
toped.csv,0.46,0.06,0.62,0.86,0.1,0.68,0.0,0.45,0.83,0.49,0.64,0.81,0.4,0.0,0.63,0.06,0.47
truevision.csv,0.67,0.44,0.37,0.34,0.92,0.42,0.78,0.55,0.43,0.0,0.21,0.4,0.49,1.0,0.45,1.0,0.96
uwom.csv,0.29,0.78,0.36,0.18,0.54,0.29,0.22,0.45,0.62,0.21,0.11,0.02,0.36,0.72,0.0,0.12,0.49
zoolib.csv,0.17,0.22,0.13,0.16,0.2,0.06,0.22,0.43,0.17,0.06,0.0,0.02,0.33,0.1,0.23,0.06,0.13
zxing.csv,0.75,0.61,0.62,0.48,0.4,0.61,0.33,0.63,0.0,0.51,0.56,0.68,0.69,0.69,0.37,0.0,0.29
