,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.59,0.11,0.41,0.21,0.21,0.63,0.27,0.44,0.29,0.37,0.32,0.24,1.0,0.11,0.51,0.11,0.4
delphilhlplib.csv,0.95,1.0,0.63,0.74,0.86,0.58,0.88,0.55,0.71,0.82,0.87,0.58,0.85,0.98,0.87,0.61,0.8
exordium.csv,0.28,0.3,0.08,0.89,0.48,0.32,0.57,0.19,0.54,0.34,0.23,0.29,0.22,0.08,0.32,0.41,0.8
fltk.csv,0.69,0.4,0.99,0.79,0.34,0.26,0.71,0.32,0.57,0.42,0.42,0.45,0.34,0.63,0.53,0.21,0.8
genoviz.csv,0.03,0.02,0.01,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.0
gzigzag.csv,0.59,0.17,0.52,0.37,0.97,0.58,0.57,0.32,0.66,0.45,0.35,0.32,0.15,0.03,0.4,0.25,0.6
irrlicht.csv,0.95,0.43,0.94,0.95,0.66,0.95,0.65,1.0,1.0,0.97,0.97,0.89,0.58,0.24,0.82,0.46,0.8
moast.csv,1.0,0.96,1.0,1.0,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0
mptvseries.csv,0.85,0.23,0.53,0.58,0.34,0.95,0.51,0.46,0.86,0.29,0.45,0.33,0.33,0.15,0.52,0.18,0.6
openfrag.csv,0.95,0.51,0.7,0.95,0.66,0.42,0.86,0.58,0.94,0.74,0.58,0.92,0.79,0.98,0.82,0.59,0.6
qse.csv,0.87,0.43,0.49,0.68,0.52,0.58,0.84,0.38,1.0,0.61,0.35,0.32,0.31,0.1,0.55,0.32,1.0
sauerbraten.csv,0.97,0.51,0.28,0.47,0.21,0.26,0.53,0.32,0.54,0.55,0.16,0.32,0.37,0.01,0.39,0.05,0.4
toped.csv,0.51,0.26,0.68,0.79,0.17,0.63,1.0,0.43,0.89,0.21,0.65,0.71,0.4,0.14,0.53,0.12,0.2
truevision.csv,0.82,0.89,0.52,0.79,0.93,0.74,0.69,0.6,0.66,0.97,0.35,0.68,0.57,1.0,0.76,0.84,1.0
uwom.csv,0.54,0.43,0.44,0.42,0.52,0.47,0.31,0.4,0.43,0.37,0.19,0.26,0.42,0.45,0.96,0.52,0.6
zoolib.csv,0.28,0.15,0.25,0.16,0.24,0.0,0.16,0.39,0.29,0.11,0.81,0.14,0.16,0.01,0.37,0.02,0.4
zxing.csv,0.64,0.45,0.79,0.53,0.34,0.74,0.57,0.64,0.0,0.66,0.65,0.55,0.61,0.37,0.68,1.0,0.6
