,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.3,0.49,0.3,0.58,0.45,0.3,0.98,0.72,0.43,0.12,0.47,0.24,0.59
ivef-sdk.csv,0.13,0.69,0.58,0.62,0.57,1.0,0.26,0.0,0.53,0.48,0.0,0.0,0.26
jmri.csv,0.48,0.53,0.96,0.65,0.46,0.3,0.45,0.68,0.66,0.39,0.41,0.22,0.19
jython.csv,0.56,0.43,0.61,0.69,0.51,0.85,0.57,0.96,0.57,0.64,0.74,0.56,0.43
kdenlive.csv,0.99,0.63,0.58,0.25,0.46,0.0,0.46,0.2,0.49,0.58,0.57,0.59,0.42
opentibia.csv,0.52,0.98,0.51,0.0,0.36,0.85,0.43,0.0,0.46,0.4,0.62,0.53,0.63
projectfactory.csv,0.3,0.52,0.47,0.65,0.5,0.74,0.48,0.27,0.59,0.97,0.39,0.53,0.0
runuomondains.csv,0.21,0.14,0.04,0.12,0.0,0.23,0.0,0.37,0.09,0.04,0.67,0.05,0.0
somap.csv,0.0,0.0,0.24,0.0,0.69,0.0,0.0,0.0,0.0,0.21,0.13,1.0,0.68
taverna.csv,0.13,0.25,0.2,0.27,0.97,0.05,0.25,0.11,0.24,0.27,0.14,0.32,0.46
tigermud.csv,0.36,0.47,0.43,0.37,0.6,0.58,0.72,0.2,0.27,0.53,0.62,0.5,0.94
unbvision.csv,0.61,0.41,0.55,0.15,0.44,0.54,0.27,0.4,0.98,0.52,0.66,0.64,0.34
x-ray-mule.csv,0.47,0.54,0.4,0.94,0.49,0.58,0.58,0.0,0.38,0.21,0.14,0.28,0.37
