,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.22,0.16,0.15,0.31,0.03,0.26,0.29,0.09,0.02,0.18,0.43
empserver.csv,0.2,0.54,0.91,0.18,0.24,0.33,0.21,0.77,0.73,0.59,0.0
enlightenment.csv,1.0,1.0,1.0,0.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ffigo.csv,0.41,0.22,0.47,0.04,0.03,0.19,0.0,0.16,0.31,0.43,0.21
ildjit.csv,0.11,0.03,0.02,0.07,0.03,0.05,0.05,0.19,0.01,0.02,0.14
jfreereport.csv,0.02,0.0,0.01,0.17,0.06,0.0,0.07,0.04,0.01,0.02,0.0
lufa-lib.csv,0.6,0.52,0.24,0.46,0.09,0.59,0.22,0.26,0.05,0.48,0.57
pcsx2.csv,0.41,0.35,0.53,0.65,0.79,0.47,0.85,0.49,0.99,0.07,0.43
psycle.csv,0.5,0.84,0.81,0.72,0.64,0.78,0.87,0.9,0.98,0.41,0.29
wikipediardware.csv,0.48,0.9,1.0,0.78,0.97,0.85,1.0,0.92,0.97,0.82,0.29
wxjs.csv,0.03,0.03,0.01,0.02,0.12,0.08,0.01,0.0,0.0,0.09,0.21
