,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.78,0.59,0.38,1.06,0.49,0.35,0.82,0.7,0.62,0.53,0.33,0.81,0.67
archive-crawler.csv,0.93,0.87,0.67,0.94,0.91,0.35,0.77,0.84,0.62,0.54,0.69,0.81,0.84
biodwh.csv,0.97,1.0,0.95,1.0,0.89,1.0,0.92,1.0,0.97,0.83,0.97,0.63,0.83
blue-c.csv,0.84,0.75,0.69,1.18,0.57,0.26,0.48,0.62,0.79,0.6,0.6,0.82,0.67
dynalloy.csv,0.66,0.51,1.01,1.02,0.55,0.8,0.76,0.8,0.64,0.81,0.54,0.78,0.69
jcae.csv,0.93,0.98,0.89,1.0,0.89,0.57,0.96,0.8,0.72,0.58,0.52,0.79,0.84
kmatplot.csv,0.63,0.78,0.65,0.94,1.0,0.5,0.72,0.79,0.72,0.57,0.69,0.96,0.69
mscore.csv,0.68,0.99,1.0,0.83,0.42,0.41,0.47,0.44,0.71,0.86,0.93,1.0,0.97
nosleepsoftware.csv,0.9,0.98,0.8,0.51,1.0,1.0,0.94,0.95,0.93,1.0,1.0,1.0,0.7
openmalaria.csv,0.56,0.68,0.92,0.85,0.42,0.45,0.51,0.38,0.69,0.67,0.91,0.73,0.85
popeye-chess.csv,0.63,0.66,0.81,0.91,0.39,0.41,0.58,0.55,0.72,0.67,0.68,0.65,0.85
riff-evolve.csv,0.49,0.59,0.57,1.04,0.42,0.63,0.6,0.68,0.41,0.68,0.64,0.49,0.57
virtuoso.csv,0.84,0.86,0.78,1.0,0.53,1.0,0.87,0.89,0.72,0.67,0.68,0.62,0.73
