,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.2,0.38,0.14,0.19,0.35,0.17,0.22,0.31,0.32,0.29,0.19,0.24,0.31,0.19,0.36,0.33,0.27,0.37
arm-webradio.csv,0.21,0.38,0.2,0.21,0.34,0.22,0.36,0.35,0.34,0.39,0.35,0.27,0.31,0.18,0.36,0.43,0.27,0.27
bwapi.csv,0.43,0.35,0.41,0.48,0.24,0.4,0.33,0.33,0.34,0.38,0.36,0.42,0.33,0.46,0.33,0.41,0.4,0.52
co-ode-owl-plugins.csv,0.29,0.3,0.19,0.4,0.29,0.28,0.33,0.32,0.31,0.39,0.31,0.22,0.24,0.45,0.3,0.42,0.28,0.26
firebreath.csv,0.23,0.29,0.24,0.28,0.25,0.26,0.26,0.28,0.33,0.27,0.21,0.22,0.27,0.2,0.16,0.23,0.18,0.39
frogatto.csv,0.2,0.24,0.34,0.27,0.2,0.23,0.25,0.31,0.18,0.19,0.35,0.24,0.22,0.45,0.19,0.16,0.24,0.32
gretl.csv,0.25,0.27,0.2,0.21,0.39,0.29,0.22,0.28,0.3,0.4,0.21,0.27,0.3,0.27,0.41,0.46,0.3,0.18
jasperreports.csv,0.27,0.29,0.4,0.46,0.27,0.38,0.34,0.34,0.27,0.18,0.33,0.32,0.35,0.12,0.29,0.12,0.34,0.42
konversation.csv,0.14,0.23,0.14,0.19,0.13,0.2,0.29,0.19,0.22,0.26,0.31,0.26,0.27,0.24,0.14,0.09,0.25,0.17
linuxsh.csv,0.27,0.32,0.41,0.42,0.25,0.27,0.34,0.38,0.3,0.4,0.36,0.43,0.36,0.26,0.23,0.39,0.36,0.14
moviesandbox.csv,0.39,0.36,0.3,0.34,0.22,0.22,0.34,0.37,0.31,0.4,0.35,0.41,0.43,0.44,0.22,0.38,0.27,0.42
ontomorphtab.csv,0.23,0.44,0.28,0.33,0.37,0.34,0.26,0.25,0.31,0.24,0.28,0.29,0.38,0.16,0.3,0.19,0.31,0.52
opengs.csv,0.23,0.39,0.15,0.19,0.25,0.26,0.34,0.38,0.29,0.4,0.32,0.15,0.19,0.46,0.2,0.24,0.17,0.55
scite-ru.csv,0.43,0.38,0.29,0.41,0.34,0.34,0.19,0.38,0.35,0.41,0.31,0.24,0.29,0.46,0.38,0.46,0.37,0.55
tokratan.csv,0.16,0.24,0.16,0.2,0.2,0.2,0.34,0.37,0.22,0.22,0.21,0.25,0.27,0.43,0.25,0.1,0.22,0.42
vrjuggler.csv,0.18,0.12,0.19,0.36,0.15,0.38,0.21,0.16,0.21,0.11,0.24,0.2,0.17,0.12,0.25,0.24,0.27,0.13
wxcode.csv,0.11,0.12,0.11,0.13,0.14,0.14,0.15,0.35,0.34,0.22,0.16,0.16,0.15,0.23,0.33,0.21,0.17,0.32
xuggle.csv,0.2,0.27,0.19,0.18,0.29,0.21,0.16,0.19,0.29,0.25,0.2,0.25,0.27,0.44,0.29,0.42,0.2,0.26
