,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.78,0.38,0.91,0.62,0.59,0.42,0.38,0.28,0.5,0.67,0.53,0.65
dsworkbench.csv,0.79,0.32,0.11,0.4,0.48,0.1,0.48,0.0,0.53,0.16,0.0,0.14
gogoego.csv,0.82,0.38,0.83,0.5,0.55,0.53,0.36,0.25,0.45,0.75,0.4,0.86
jpaul.csv,0.6,0.41,0.0,0.61,0.09,0.0,0.25,0.0,0.17,0.0,0.0,0.0
loki-lib.csv,0.77,0.37,0.27,0.51,0.37,0.4,0.43,0.13,0.52,0.38,0.66,0.92
motu.csv,0.63,0.4,0.92,0.46,0.48,0.4,0.49,0.17,0.47,0.69,0.52,0.43
mp-rechnungs-und-kundenverwaltung.csv,0.25,0.39,0.3,0.48,0.1,0.36,0.42,0.19,0.51,0.44,0.4,0.31
rtrt-on-gpu.csv,0.65,0.28,0.77,0.27,0.4,0.32,0.31,0.61,0.48,0.38,0.35,0.84
scenemonitor.csv,0.73,0.38,0.21,0.65,0.67,0.34,0.38,0.28,0.48,0.55,0.16,0.64
xstore.csv,0.61,0.41,0.52,0.53,0.56,0.31,0.38,0.09,0.46,0.67,0.58,0.93
yarp0.csv,0.67,0.3,0.79,0.08,0.39,0.63,0.18,0.32,0.5,0.47,0.51,0.68
zemljanka.csv,0.85,0.38,0.92,0.45,0.54,0.49,0.38,0.34,0.47,0.68,0.44,0.9
