,recall,precision,pf,pci_20,ifa,wins
cme.csv,0.01,0.045,0.015,0.335,34.5,0
columba.csv,0.645,0.44,0.375,0.42,2.0,10
encog-cs.csv,0.8200000000000001,0.245,0.9,0.43,4.5,2
fido.csv,0.015,0.12,0.0,0.55,29.5,1
flexpay.csv,0.5,0.33999999999999997,0.27,0.575,2.0,9
fluent-nhibernate.csv,0.345,0.37,0.21500000000000002,0.725,1.5,11
geochat.csv,0.185,0.20500000000000002,0.265,0.7949999999999999,5.5,7
gpsmid.csv,0.835,0.275,0.59,0.415,4.0,6
k3d.csv,0.08,0.45,0.1,0.86,5.5,12
m-a-d-n-e-s-s.csv,0.255,0.45,0.17,0.77,2.5,13
mob-sen-plat.csv,0.87,0.29000000000000004,0.695,0.39,8.0,3
ninject.csv,0.45499999999999996,0.3,0.305,0.585,4.0,8
uface.csv,0.875,0.28500000000000003,0.755,0.38,3.0,4
v8.csv,0.605,0.29,0.55,0.53,10.0,5
