,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.47,0.49,0.09,0.65,0.54,0.79,0.72,0.53,0.5,0.74,0.59,0.0,0.5,0.7,0.59,0.17,0.37,0.4
bigdata.csv,0.31,0.32,0.47,0.5,0.0,0.25,0.49,0.54,0.42,0.09,0.39,0.34,0.44,0.69,0.71,0.39,0.54,0.2
chaperon.csv,0.43,0.51,0.23,0.0,0.98,0.49,0.44,0.55,0.01,0.25,0.0,0.17,0.26,0.57,0.45,0.35,0.54,0.43
e-bio-flow.csv,0.5,0.47,0.76,0.55,0.0,0.15,0.54,0.33,0.12,0.29,0.6,0.17,0.55,0.5,0.66,0.62,0.43,0.52
exist.csv,0.54,0.64,0.09,0.24,0.64,0.5,0.47,0.78,0.32,0.48,0.61,0.67,0.7,0.56,0.42,0.54,0.43,0.66
freedom-erp.csv,0.23,0.0,0.31,0.45,0.29,0.41,0.46,0.11,0.12,0.04,0.72,0.34,0.24,0.0,0.22,0.0,0.12,0.0
geotools.csv,0.5,0.42,0.51,0.39,0.0,0.66,0.42,0.63,0.58,0.63,0.57,0.48,0.65,0.61,0.4,0.29,0.63,0.67
jaxlib.csv,0.53,0.54,0.27,0.99,0.43,0.43,0.04,0.19,0.48,0.57,0.07,0.33,0.5,0.15,0.38,0.53,0.33,0.44
jppf-project.csv,0.57,0.27,0.72,0.36,0.31,0.37,0.74,0.49,0.3,0.29,0.55,0.52,0.5,0.37,0.51,0.09,0.36,0.61
matrex.csv,0.18,0.63,0.41,0.53,0.29,0.61,0.41,0.06,0.83,0.24,0.42,0.34,0.31,0.0,0.13,0.41,0.21,0.31
mediate.csv,0.24,0.7,0.44,0.75,0.54,0.6,0.32,0.57,0.46,0.6,0.48,0.33,0.38,0.63,0.65,0.56,0.6,0.61
nunit.csv,0.23,0.69,0.51,0.51,0.29,0.19,0.26,0.54,0.06,0.54,0.25,0.48,0.36,0.41,0.53,0.39,0.67,0.61
octet.csv,0.43,0.0,0.56,0.0,0.28,0.46,0.5,0.37,0.58,0.43,0.27,0.73,0.53,0.54,0.55,0.05,0.52,0.48
pokenetonline.csv,0.2,0.0,0.42,0.36,0.23,0.24,0.4,0.0,0.0,0.69,0.13,0.75,0.46,0.42,0.21,0.27,0.56,0.6
reaper3d.csv,0.21,0.21,0.47,0.52,0.76,0.6,0.21,0.58,0.54,0.51,0.59,0.57,0.26,0.82,0.46,0.19,0.49,0.5
simplewebservices.csv,0.4,0.13,0.57,0.0,0.5,0.09,0.0,0.65,0.45,0.4,0.0,0.57,0.62,0.09,0.3,0.65,0.61,0.73
stajistics.csv,0.34,0.3,0.49,0.28,0.29,0.33,0.48,0.42,0.34,0.31,0.17,0.48,0.65,0.63,0.54,0.64,0.6,0.73
swtfox.csv,0.65,0.26,0.34,0.0,0.25,0.46,0.37,0.52,0.26,0.47,0.19,0.54,0.45,0.53,0.57,0.53,0.61,0.44
