,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.12,0.55,0.46,0.28,0.2,0.3,0.55,0.0,0.82,0.3,0.17,0.41,0.16,0.12,0.67,0.36,0.6,0.0
arsenal-1.csv,0.19,0.25,0.16,0.67,0.05,0.09,0.05,0.7,0.0,0.09,0.0,0.1,0.07,0.05,0.0,0.0,0.0,1.0
atomsite.csv,0.95,0.74,0.89,0.93,1.0,1.0,0.68,1.0,0.95,0.78,0.85,0.95,0.24,0.59,1.0,0.5,0.93,0.0
barracudamvc.csv,0.86,0.74,0.88,0.7,0.6,0.83,1.0,0.96,0.86,0.91,1.0,0.76,0.9,0.88,0.93,0.93,0.93,1.0
emisview.csv,0.21,0.0,0.14,0.2,0.05,0.13,0.36,0.26,0.77,0.7,0.15,0.46,0.0,0.08,0.6,0.25,0.43,0.0
findbugs.csv,0.79,0.76,0.5,0.76,0.9,0.57,0.36,0.26,0.77,0.48,0.49,0.79,0.2,0.46,0.67,0.57,0.67,1.0
jitterbit.csv,0.95,0.98,0.59,0.64,0.45,0.57,0.82,1.0,0.77,0.61,0.34,0.66,0.23,0.34,0.93,0.71,0.83,1.0
lite.csv,0.5,0.0,0.07,0.46,0.15,0.35,0.09,0.48,0.09,0.3,0.05,0.18,0.07,0.37,0.73,0.21,0.33,0.0
megasquirtavr.csv,0.98,1.0,0.73,0.63,0.6,1.0,0.36,1.0,0.32,0.91,0.76,0.57,0.18,1.0,0.33,0.57,0.4,0.0
ontopia.csv,0.52,0.77,0.64,0.16,0.45,0.78,0.77,0.41,0.55,0.7,0.68,0.24,0.94,0.83,0.8,0.5,0.23,1.0
openintents.csv,0.71,0.47,0.79,0.5,0.1,0.7,0.86,1.0,0.95,1.0,0.17,0.43,0.83,0.39,0.8,0.86,0.6,1.0
rectracker.csv,0.88,0.83,0.84,0.61,0.3,0.78,1.0,0.48,1.0,0.83,1.0,0.67,0.95,1.0,0.87,0.96,1.0,1.0
stajistics.csv,0.69,0.92,0.66,0.49,0.0,0.52,0.86,0.63,1.0,0.91,0.32,0.47,0.99,0.53,0.73,0.86,0.63,1.0
trackit.csv,0.05,0.01,0.0,0.03,0.2,0.22,0.32,0.11,0.14,0.35,0.61,0.21,0.53,0.36,0.4,0.29,0.1,0.0
wxlua.csv,0.26,0.77,0.54,0.31,0.6,0.22,0.82,0.26,0.73,0.17,0.46,0.49,0.84,0.43,0.07,0.32,0.2,1.0
x4x.csv,0.76,0.8,0.32,0.78,0.7,0.87,0.5,0.59,0.77,0.65,0.71,0.7,0.33,0.86,0.67,0.64,0.43,0.0
xharbour.csv,0.86,0.77,0.73,0.92,0.95,0.83,0.77,1.0,0.91,0.74,0.88,0.75,0.6,0.54,0.87,0.93,0.87,1.0
