,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.39,0.62,0.48,0.39,0.37,0.33,0.37,0.49,0.56,0.45,0.58,0.62
emono.csv,0.59,0.45,0.48,0.42,0.43,0.36,0.39,0.31,0.54,0.51,0.49,0.54
freedom-erp.csv,0.75,0.83,0.63,0.0,0.5,0.0,0.75,0.35,0.0,0.0,0.0,0.5
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.75,0.83,0.0,0.0,0.83,0.0,0.0
jmoney.csv,0.42,0.41,0.46,0.44,0.67,0.38,0.91,0.71,0.43,0.55,0.36,0.42
jmonkeyengine.csv,0.61,0.48,0.76,0.48,0.59,0.51,0.51,0.8,0.47,0.57,0.39,0.45
jsidplay2.csv,0.46,0.85,0.37,0.8,0.44,0.39,0.43,0.31,0.65,0.73,0.97,0.95
matrex.csv,0.45,0.93,0.54,0.0,0.88,0.49,0.46,0.77,0.67,0.0,0.95,0.89
mediate.csv,0.61,0.52,0.89,0.54,0.49,0.46,0.47,0.43,0.59,0.58,0.8,0.92
mesa3d.csv,0.54,0.6,0.59,0.61,0.83,0.35,0.46,0.4,0.44,0.95,0.52,0.48
pustefix.csv,0.5,0.8,0.92,0.64,0.39,0.76,0.78,0.67,0.58,0.81,0.45,0.57
reaper3d.csv,0.59,0.59,0.47,0.53,0.9,0.67,0.83,0.39,0.53,0.86,0.83,0.61
