,f1,g,recall,precision,pf,wins
cortex-vfx.csv,0.4,0.44499999999999995,0.405,0.5800000000000001,0.255,6
empserver.csv,0.39,0.41,0.495,0.615,0.395,5
enlightenment.csv,0.65,0.0,1.0,0.485,1.0,3
ffigo.csv,0.255,0.365,0.32999999999999996,0.355,0.21000000000000002,2
ildjit.csv,0.33999999999999997,0.33,0.29000000000000004,0.5700000000000001,0.21,4
jfreereport.csv,0.19,0.155,0.125,0.635,0.07,1
mplayer-ce.csv,0.56,0.53,0.6950000000000001,0.56,0.5349999999999999,8
psycle.csv,0.6,0.585,0.685,0.55,0.6000000000000001,9
wikipediardware.csv,0.6200000000000001,0.49,0.79,0.485,0.7849999999999999,7
wxjs.csv,0.030000000000000002,0.025,0.02,0.19,0.005,0
